"Comuna","COD","Votacion_2004","Votacion_2008","Votacion_2012","Votacion_2016","Votacion_2021","Participacion_2004","Participacion_2008","Participacion_2012","Participacion_2016","Participacion_2021","Inscritos_2004","Inscritos_2008","Inscritos_Total_2012","Inscritos_Total_2016","Inscritos_Total_2021","n_prot","prot_dum","treat","concertatotal_2004","concertatotal_2008","concertatotal_2012","concertatotal_2016","concertatotal_2021","concerta_prop_2004","concerta_prop_2008","concerta_prop_2012","concerta_prop_2016","concerta_prop_2021","derechatotal_2004","derechatotal_2008","derechatotal_2012","derechatotal_2016","derechatotal_2021","derecha_prop_2004","derecha_prop_2008","derecha_prop_2012","derecha_prop_2016","derecha_prop_2021","indeptotal_2004","indeptotal_2008","indeptotal_2012","indeptotal_2016","indeptotal_2021","indep_prop_2004","indep_prop_2008","indep_prop_2012","indep_prop_2016","indep_prop_2021","otrostotal_2004","otrostotal_2008","otrostotal_2012","otrostotal_2016","otrostotal_2021","otros_prop_2004","otros_prop_2008","otros_prop_2012","otros_prop_2016","otros_prop_2021"
"CHIMBARONGO",6303,16463,16568,13741,13793,12416,0.921110054271807,0.918454459781584,0.5005,0.4788,0.4069,17873,18039,27454,28809,30510,3,1,"Treated",9242,3749,5411,2070,2352,0.561380064386807,0.2262795750845,0.393785022924096,0.150076125570942,0.189432989690722,4023,1620,0,5763,8880,0.244366154406852,0.0977788507967166,0,0.417820633654752,0.71520618556701,1923,0,0,0,909,0.116807386260098,0,0,0,0.0732119845360825,319,9996,7634,5655,0,0.0193767843041973,0.603331723804925,0.555563641656357,0.409990574929312,0
"CHOLCHOL",9121,4776,5636,6101,5973,6505,0.853009465976067,0.859801678108314,0.6619,0.6088,0.5863,5599,6555,9218,9811,11095,2,1,"Treated",1218,1963,135,0,404,0.255025125628141,0.348296664300923,0.0221275200786756,0,0.0621060722521138,967,1996,2090,2446,222,0.202470686767169,0.354151880766501,0.342566792329126,0.409509459233216,0.0341275941583397,1896,0,3721,3329,5691,0.396984924623116,0,0.609900016390756,0.557341369496066,0.874865488086088,536,1495,0,0,0,0.112227805695142,0.265259048970901,0,0,0
"CHONCHI",10203,5530,5937,6884,6726,6536,0.874446552814674,0.885590692124105,0.5903,0.5531,0.4955,6324,6704,11662,12160,13190,1,1,"Treated",2911,2917,3619,2234,1222,0.526401446654611,0.491325585312447,0.525711795467751,0.332143919119833,0.186964504283966,2383,2775,3081,4091,3309,0.430922242314647,0.467407781707933,0.447559558396281,0.608236693428486,0.506272949816401,0,0,0,278,1892,0,0,0,0.0413321439191198,0.289473684210526,0,0,0,0,0,0,0,0,0,0
"CISNES",11202,2188,2268,2288,2192,2514,0.771509167842031,0.764924114671164,0.5661,0.5263,0.5502,2836,2965,4042,4165,4569,4,1,"Treated",1282,1219,1213,982,1117,0.585923217550274,0.537477954144621,0.530157342657343,0.447992700729927,0.44431185361973,659,985,1033,1181,1162,0.301188299817185,0.434303350970018,0.451486013986014,0.538777372262774,0.462211614956245,211,0,0,0,197,0.0964351005484461,0,0,0,0.0783611774065235,0,0,0,0,0,0,0,0,0,0
"COBQUECURA",16202,3709,3730,3718,4311,4064,0.872295390404516,0.859249020962912,0.6973,0.7517,0.6907,4252,4341,5332,5735,5884,0,0,"Control",1853,2079,1802,2342,1922,0.499595578322998,0.557372654155496,0.484669176976869,0.543261424263512,0.472933070866142,370,1592,1866,1924,164,0.0997573469937989,0.426809651474531,0.501882732651963,0.446300162375319,0.0403543307086614,1427,0,0,0,1914,0.384739822054462,0,0,0,0.470964566929134,0,0,0,0,0,0,0,0,0,0
"COCHAMO",10103,2154,2225,2257,2208,2115,0.842064112587959,0.843122394846533,0.5131,0.4932,0.4556,2558,2639,4399,4477,4642,0,0,"Control",1223,1018,1139,947,181,0.5677808727948,0.45752808988764,0.504652193176783,0.428894927536232,0.0855791962174941,615,124,1033,885,240,0.285515320334262,0.0557303370786517,0.457687195392113,0.400815217391304,0.113475177304965,86,405,0,320,1606,0.0399257195914577,0.182022471910112,0,0.144927536231884,0.759338061465721,115,576,0,0,19,0.05338904363974,0.258876404494382,0,0,0.00898345153664303
"COCHRANE",11301,1479,1522,1564,1442,1893,0.747347145022739,0.727881396461023,0.5136,0.4518,0.5594,1979,2091,3045,3192,3384,2,1,"Treated",780,384,561,390,1096,0.527383367139959,0.252299605781866,0.358695652173913,0.270457697642164,0.578975171685156,652,926,952,1002,758,0.440838404327248,0.608409986859396,0.608695652173913,0.694868238557559,0.400422609614369,12,157,0,0,0,0.00811359026369168,0.103153745072273,0,0,0,0,0,0,0,0,0,0,0,0,0
"CODEGUA",6102,5976,6228,6380,6211,6806,0.937853107344633,0.930663478780633,0.6293,0.5798,0.5827,6372,6692,10139,10712,11680,0,0,"Control",3417,3158,2859,3077,1151,0.571787148594378,0.507064868336545,0.448119122257053,0.495411366929641,0.169115486335586,1841,944,1117,221,0,0.308065595716198,0.151573538856776,0.175078369905956,0.0355820318789245,0,0,0,2223,2815,5547,0,0,0.348432601880878,0.453228143616165,0.815016162209815,326,1738,0,0,0,0.0545515394912985,0.279062299293513,0,0,0
"COELEMU",16203,9289,9294,9769,9035,8705,0.860969505978311,0.863273267694594,0.6687,0.6096,0.5647,10789,10766,14609,14821,15414,0,0,"Control",3782,3458,3993,4610,4611,0.40714823985359,0.37206800086077,0.408741938785956,0.510237963475374,0.529695577254451,3420,5316,5297,4308,3737,0.368177414145764,0.57198192382182,0.542225406899376,0.476812396236857,0.429293509477312,1688,0,287,0,0,0.181720314350307,0,0.0293786467396868,0,0,0,0,0,0,216,0,0,0,0,0.0248133256748995
"COIHUECO",16302,11881,11729,11918,12066,8644,0.889096759709646,0.87903769766919,0.5995,0.5879,0.3899,13363,13343,19881,20525,22169,0,0,"Control",2202,5172,5387,5141,1631,0.185337934517297,0.440958308466195,0.452005370028528,0.426073263716227,0.188685793614068,2681,4869,5692,6798,6278,0.225654406194765,0.415124904083895,0.477596912233596,0.56340129288911,0.726284127718649,6541,766,567,0,0,0.550542883595657,0.0653082104186205,0.0475750964927001,0,0,0,461,0,0,452,0,0.039304288515645,0,0,0.0522906062008329
"COINCO",6103,4038,4071,4220,3684,4332,0.920866590649943,0.906479625918504,0.6536,0.5495,0.5983,4385,4491,6457,6704,7240,1,1,"Treated",1557,1563,1827,1486,990,0.385586924219911,0.383935151068533,0.432938388625592,0.403365906623236,0.228531855955679,2146,2079,2272,1949,1463,0.531451213472016,0.510685335298453,0.538388625592417,0.529044516829533,0.337719298245614,0,0,0,0,1821,0,0,0,0,0.420360110803324,119,266,0,0,0,0.029470034670629,0.065340211250307,0,0,0
"COLBUN",7402,9502,9487,10095,9957,10158,0.871503255984591,0.847583310997945,0.6298,0.5959,0.5507,10903,11193,16029,16710,18445,0,0,"Control",2465,982,1355,162,0,0.259419069669543,0.103510066406662,0.134224863793957,0.0162699608315758,0,3994,1020,3597,294,259,0.420332561565986,0.107515547591441,0.356315007429421,0.0295269659536005,0.0254971451073046,1832,5879,4951,9349,9756,0.192801515470427,0.619690102245178,0.490440812283309,0.938937430953098,0.960425280567041,707,1206,0,0,0,0.074405388339297,0.127121323916939,0,0,0
"COLCHANE",1403,1218,1418,1569,2140,1813,0.549143372407574,0.626048565121413,0.5523,0.5684,0.5235,2218,2265,2841,3765,3463,3,1,"Treated",574,551,506,398,1120,0.471264367816092,0.388575458392102,0.322498406628426,0.185981308411215,0.617760617760618,54,798,671,456,622,0.0443349753694581,0.562764456981664,0.427660930528999,0.213084112149533,0.3430777716492,486,0,18,413,0,0.399014778325123,0,0.011472275334608,0.192990654205607,0,16,28,312,816,0,0.013136288998358,0.0197461212976023,0.198852772466539,0.381308411214953,0
"COLINA",13301,28661,30516,28426,24238,42089,0.884762610359943,0.893273227562789,0.4281,0.3239,0.4653,32394,34162,66403,74843,90446,3,1,"Treated",10952,5772,10262,7652,8846,0.382122047381459,0.189146677152969,0.361007528319144,0.31570261572737,0.210173679583739,14912,16293,15475,14905,11312,0.520288894316318,0.533916633896972,0.544395975515373,0.614943477184586,0.268763810021621,0,401,0,0,18013,0,0.013140647529165,0,0,0.427974054978736,957,5883,1275,0,3207,0.033390321342591,0.192784113252064,0.0448533033138676,0,0.0761956805816247
"COLLIPULLI",9202,11596,11260,10756,10221,8450,0.825455580865604,0.81653372008702,0.5156,0.4782,0.3813,14048,13790,20860,21376,22160,10,1,"Treated",5828,6375,7165,862,1975,0.502587098999655,0.566163410301954,0.666139828932689,0.084336170629097,0.233727810650888,1997,3220,3113,1431,3869,0.172214556743705,0.285968028419183,0.289419858683525,0.140005870267097,0.457869822485207,0,589,0,7621,1857,0,0.0523090586145648,0,0.745621759123373,0.219763313609467,3099,377,0,0,517,0.267247326664367,0.0334813499111901,0,0,0.0611834319526627
"COLTAUCO",6104,7719,8015,7354,7389,8197,0.918054234062797,0.920629450953365,0.5217,0.4942,0.507,8408,8706,14097,14950,16168,0,0,"Control",2738,4025,3505,3948,1631,0.354709159217515,0.502183406113537,0.476611367963013,0.534307754770605,0.198975234842015,3872,3515,1301,2891,2030,0.501619380748802,0.438552713661884,0.176910524884417,0.391257274326702,0.247651579846285,0,0,1436,384,3916,0,0,0.195267881425075,0.0519691433211531,0.477735756984263,441,0,860,0,485,0.0571317528177225,0,0.116943160184933,0,0.0591679882883982
"COMBARBALA",4302,7332,6951,6747,6437,5569,0.851271334029955,0.826810990840966,0.5602,0.5213,0.4437,8613,8407,12043,12348,12550,0,0,"Control",2125,1361,2800,4815,2484,0.289825422804146,0.195799165587685,0.414999258929895,0.748019263632127,0.446040581792063,1693,907,1305,1468,0,0.230905619203492,0.130484822327723,0.19341929746554,0.228056548081404,0,2759,2657,0,0,1847,0.376295690125477,0.382247158682204,0,0,0.331657389118334,395,1701,2430,0,1145,0.053873431533006,0.244712990936556,0.36016007114273,0,0.205602442090142
"CONCEPCION",8101,107140,106497,74977,56529,80813,0.833022330036698,0.830787593222454,0.3808,0.2841,0.4019,128616,128188,196876,198961,201066,175,1,"Treated",39039,27733,39363,25224,30000,0.364373716632444,0.260411091392246,0.525001000306761,0.446213447964761,0.371227401531932,55925,60889,26580,18196,17820,0.521980586148964,0.571743804989812,0.354508716006242,0.321887880556882,0.220509076509967,0,0,0,9740,19280,0,0,0,0.172300942878876,0.238575476717855,4107,7327,5419,805,12446,0.0383330222139257,0.0688000600955895,0.0722754978193313,0.0142404783385519,0.154009874648881
"CONCHALI",13104,75461,69450,44921,31374,48776,0.876739862902289,0.875655638491023,0.3749,0.2587,0.4112,86070,79312,119810,121265,118624,6,1,"Treated",36043,24814,21508,8302,7552,0.477637455109262,0.357293016558675,0.478796108724205,0.264614011601963,0.154830244382483,25293,25843,12903,7174,2483,0.335179761731225,0.3721094312455,0.287237594888805,0.228660674443807,0.0509061833688699,0,0,3187,11196,22057,0,0,0.0709467732241045,0.356855995410212,0.452210103329506,5277,8984,4502,2920,6812,0.0699301626005486,0.129359251259899,0.100220386901449,0.093070695480334,0.139658848614072
"CONCON",5103,15010,16525,16857,15455,22587,0.873588639273658,0.877588953797132,0.5504,0.4506,0.5727,17182,18830,30629,34300,39439,5,1,"Treated",5095,6579,4243,3138,931,0.33944037308461,0.398124054462935,0.25170552292816,0.203041087026852,0.0412183999645814,2696,2587,5329,4337,3738,0.179613590939374,0.156550680786687,0.31612979771015,0.280621158201229,0.165493425421703,6009,6203,6491,7411,16663,0.400333111259161,0.375370650529501,0.385062585276146,0.479521190553219,0.737725240182406,283,339,368,0,789,0.0188540972684877,0.0205143721633888,0.0218306934804532,0,0.0349315978217559
"CONSTITUCION",7102,20580,20616,19709,18716,18323,0.870447912701434,0.860613650594865,0.5324,0.4871,0.4581,23643,23955,37020,38421,40000,0,0,"Control",8576,2632,8598,5876,8493,0.416715257531584,0.127667830811021,0.436247399665128,0.313955973498611,0.463515799814441,7814,2430,9590,9184,5988,0.379689018464529,0.117869615832363,0.48657973514638,0.490703141696944,0.326802379523004,3277,12753,275,3221,3592,0.159232264334305,0.618597206053551,0.013953016388452,0.172098739046805,0.196037766741254,0,1803,576,0,0,0,0.0874563445867287,0.0292252270536303,0,0
"CONTULMO",8204,3319,3403,3496,3560,3449,0.83517866129844,0.823372852649407,0.6193,0.616,0.5699,3974,4133,5645,5779,6052,1,1,"Treated",1514,1264,1326,788,344,0.456161494426032,0.371436967381722,0.37929061784897,0.221348314606742,0.0997390547984923,1526,2017,1233,1571,1440,0.459777041277493,0.592712312665295,0.352688787185355,0.441292134831461,0.417512322412293,149,0,116,1153,1596,0.0448930400723109,0,0.0331807780320366,0.323876404494382,0.462742824006959,0,0,725,0,0,0,0,0.207379862700229,0,0
"COPIAPO",3101,48906,50378,42121,40127,44853,0.830858618463525,0.844361759184768,0.3876,0.3455,0.3618,58862,59664,108673,116156,123973,116,1,"Treated",22261,17107,14097,11658,10481,0.455179323600376,0.339572829409663,0.334678663849386,0.290527574949535,0.233674447640069,18170,10278,0,636,10413,0.371529055739582,0.204017626741832,0,0.015849677274653,0.232158384054578,0,1384,5983,23168,0,0,0.0274723093413792,0.142043161368439,0.577366860218805,0,4079,17414,20632,3755,23051,0.0834048991943729,0.345666759299694,0.489826927185964,0.0935778901986194,0.513923260428511
"COQUIMBO",4102,61207,64467,53720,40802,64764,0.878212210345075,0.864110984518464,0.3869,0.2677,0.3858,69695,74605,138863,152428,167854,81,1,"Treated",42981,32531,23477,20437,8067,0.702223601875602,0.504614764142895,0.437025316455696,0.500882309690701,0.124559940707801,11182,3296,14141,6949,6750,0.182691522211512,0.051126933159601,0.263235294117647,0.170310278907897,0.104224569205114,0,20831,10675,4660,36455,0,0.323126560876107,0.198715562174237,0.114210087740797,0.562889877092212,2748,2281,3086,6801,12122,0.0448968255264921,0.0353824437309011,0.057446016381236,0.166683005735013,0.187171885615465
"CORONEL",8102,42662,43902,40208,36532,38344,0.881082197439075,0.87972907983328,0.4962,0.4296,0.4269,48420,49904,81026,85044,89810,24,1,"Treated",23416,16088,15858,20405,0,0.54887253293329,0.366452553414423,0.394399124552328,0.558551406985656,0,8760,16789,17384,11256,1354,0.205334958511087,0.382419935310464,0.432351770791882,0.30811343479689,0.0353119132067599,3812,0,5423,0,35006,0.0893535230415827,0,0.134873656983685,0,0.912945962862508,3309,6968,0,3773,1427,0.077563170971825,0.158717142726983,0,0.103279316763386,0.0372157312747757
"CORRAL",14102,3074,3301,3194,3215,3256,0.817553191489362,0.812653865091088,0.6086,0.5909,0.5851,3760,4062,5248,5441,5565,2,1,"Treated",1345,1254,1411,1223,725,0.437540663630449,0.379884883368676,0.441765810895429,0.380404354587869,0.222665847665848,1287,1784,1676,1326,215,0.418672739102147,0.540442290215086,0.524733876017533,0.41244167962675,0.066031941031941,312,168,0,563,2086,0.10149642160052,0.0508936685852772,0,0.175116640746501,0.640663390663391,39,19,0,0,172,0.0126870527000651,0.00575583156619206,0,0,0.0528255528255528
"COYHAIQUE",11101,21301,21511,17778,14951,19704,0.690470016207456,0.700182279799492,0.3563,0.2885,0.3633,30850,30722,49891,51827,54229,18,1,"Treated",8408,6160,9968,8337,7801,0.394723252429463,0.286365115522291,0.560692991337608,0.557621563774998,0.39590946000812,10836,7493,6633,5094,7184,0.508708511337496,0.348333410813072,0.373101586230172,0.340712995786235,0.364596021112464,0,5435,501,0,0,0,0.252661429036307,0.0281808977387783,0,0,758,776,0,868,4193,0.0355851837941881,0.03607456650086,0,0.0580563173031904,0.212799431587495
"CUNCO",9103,9099,9246,8620,8577,7899,0.81074578989575,0.820189834116916,0.4568,0.4445,0.3949,11223,11273,18872,19297,20001,1,1,"Treated",3496,2823,3281,3922,2310,0.384218045939114,0.305321219987021,0.380626450116009,0.457269441529672,0.292442081276111,4799,3958,2880,3169,0,0.527420595669854,0.428077006272983,0.334106728538283,0.369476506937158,0,404,0,2163,1323,5377,0.044400483569623,0,0.25092807424594,0.154249737670514,0.68071907836435,0,2020,0,0,0,0,0.218472853125676,0,0,0
"CURACAUTIN",9203,9194,8823,8514,6739,6529,0.785946315609506,0.766084917947382,0.4177,0.3282,0.3079,11698,11517,20382,20536,21202,0,0,"Control",3663,1480,6006,5424,2418,0.398412007831194,0.16774339793721,0.705426356589147,0.80486719097789,0.370347679583397,4889,3112,2294,660,523,0.531759843376115,0.352714496203106,0.269438571764153,0.0979373794331503,0.0801041507122071,0,3830,0,334,3497,0,0.4340927122294,0,0.0495622495919276,0.535610353806096,274,0,0,0,0,0.0298020448118338,0,0,0,0
"CURACAVI",13503,11641,12234,12406,11377,13697,0.92242472266244,0.920818907120277,0.5647,0.4827,0.5199,12620,13286,21969,23570,26345,1,1,"Treated",4408,2984,4286,4384,0,0.378661627007989,0.243910413601439,0.345477994518781,0.38533884152237,0,4951,5867,7735,6633,5444,0.42530710420067,0.479565146313552,0.623488634531678,0.583018370396414,0.397459297656421,1043,2590,0,0,4635,0.0895971136500301,0.211705084191597,0,0,0.338395269037015,509,163,0,126,3461,0.0437247659135813,0.0133235246035638,0,0.0110749758284258,0.252683069285245
"CURACO DE VELEZ",10204,2082,2207,2286,2287,2422,0.892030848329049,0.897884458909683,0.6771,0.6288,0.6379,2334,2458,3376,3637,3797,0,0,"Control",1494,1467,1483,1059,1391,0.717579250720461,0.664703217036701,0.648731408573928,0.463052033231307,0.574318744838976,534,647,728,1057,971,0.256484149855908,0.293158133212506,0.31846019247594,0.462177525142108,0.400908340214699,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0.0362920857017927,0
"CURANILAHUE",8205,16384,16184,16084,13992,12628,0.843883595158383,0.834011852615305,0.5505,0.4656,0.4124,19415,19405,29217,30054,30624,1,1,"Treated",9004,5112,6270,6672,0,0.549560546875,0.31586752347998,0.3898284008953,0.476843910806175,0,3534,4627,7772,6990,5284,0.2156982421875,0.285899653979239,0.483213131061925,0.499571183533448,0.418435223313272,2317,2694,1623,0,6989,0.14141845703125,0.16646070192783,0.100907734394429,0,0.553452644916059,698,2705,0,0,0,0.0426025390625,0.167140385565991,0,0,0
"CURARREHUE",9104,3802,4183,4591,3956,3866,0.851511758118701,0.851761352066789,0.5997,0.5016,0.4539,4465,4911,7656,7887,8517,0,0,"Control",2023,1774,2507,2033,1916,0.532088374539716,0.424097537652403,0.546068394685254,0.513902932254803,0.495602690118986,1673,1898,1957,1785,1575,0.440031562335613,0.453741333970834,0.426268786756698,0.451213346814965,0.407397827211588,0,316,0,54,0,0,0.0755438680372938,0,0.0136501516683519,0,0,33,42,0,273,0,0.00788907482667942,0.00914833369636245,0,0.070615623383342
"CUREPTO",7103,6005,6420,6314,5633,5214,0.805499664654594,0.863948324586193,0.6226,0.5568,0.5057,7455,7431,10141,10117,10310,0,0,"Control",2743,2647,3909,3778,2744,0.456786011656953,0.412305295950156,0.619100411783339,0.670690573406711,0.526275412351362,2971,3497,2247,1067,1955,0.494754371357202,0.544704049844237,0.355875831485588,0.18941949227765,0.374952052167242,0,0,0,581,0,0,0,0,0.103142197763181,0,0,0,0,0,371,0,0,0,0,0.0711545838128117
"CURICO",7301,53959,55424,50107,41969,47289,0.912594922793309,0.910814941414274,0.4794,0.3782,0.4014,59127,60851,104530,110981,117810,52,1,"Treated",16938,22345,29283,19512,20370,0.313905001945922,0.403164693995381,0.584409363961123,0.464914579808907,0.430755566833725,28728,24464,16859,15048,10794,0.532404232843455,0.441397228637413,0.336459975652105,0.358550358598013,0.228256042631479,0,0,0,5699,0,0,0,0,0.135790702661488,0,3061,3528,1766,0,15312,0.0567282566393002,0.0636547344110854,0.035244576606063,0,0.323796231681786
"DALCAHUE",10205,4590,4767,5534,5227,5690,0.876455986251671,0.865625567459597,0.5207,0.4645,0.4517,5237,5507,10629,11254,12598,1,1,"Treated",2099,2746,1752,783,499,0.457298474945534,0.576043633312356,0.31658836284785,0.149799119954085,0.0876977152899824,2216,1436,2297,0,2692,0.482788671023965,0.301237675687015,0.415070473436935,0,0.47311072056239,0,233,979,3994,2364,0,0.0488777008600797,0.17690639681966,0.764109431796442,0.415465729349736,0,0,327,279,0,0,0,0.0590892663534514,0.0533766979146738,0
"DIEGO DE ALMAGRO",3202,8070,7000,5484,4749,5199,0.709201160031637,0.679809653297077,0.3733,0.3368,0.3883,11379,10297,14689,14100,13390,4,1,"Treated",3142,0,2726,1791,301,0.389343246592317,0,0.49708242159008,0.377132027795325,0.0578957491825351,269,2655,114,0,2594,0.0333333333333333,0.379285714285714,0.0207877461706783,0,0.498942104250817,218,0,0,2859,0,0.0270136307311029,0,0,0.602021478205938,0,3978,3500,2437,0,2230,0.492936802973978,0.5,0.444383661560904,0,0.428928640123101
"DONIHUE",6105,9848,10189,9096,8511,9848,0.924694835680751,0.924927378358751,0.5457,0.4947,0.5345,10650,11016,16667,17206,18424,2,1,"Treated",5981,4969,4157,4240,3461,0.607331437855402,0.487682795171263,0.457014072119613,0.498178827399836,0.351441917140536,3101,4096,0,880,1113,0.314886271324127,0.402002159191285,0,0.103395605686758,0.113017871649066,0,0,2667,3134,5058,0,0,0.29320580474934,0.368229350252614,0.513606823720552,269,452,1661,0,0,0.0273151909017059,0.044361566395132,0.182607739665787,0,0
"EL BOSQUE",13105,75766,73049,49255,32604,53268,0.880836123511905,0.882394153530229,0.3632,0.2342,0.3869,86016,82785,135613,139195,137677,3,1,"Treated",31361,30203,30379,18378,16448,0.413919172188053,0.413462196607756,0.616769871079078,0.563673168936327,0.308778253360366,28566,24426,15878,7415,10588,0.377029274344693,0.334378294021821,0.322363211856664,0.227426082689241,0.198768491401967,0,0,0,0,9122,0,0,0,0,0.171247277915446,6213,10316,0,4850,16045,0.0820024813240768,0.141220276800504,0,0.148754754017912,0.301212735601111
"EL CARMEN",16104,7523,7304,7771,7027,6719,0.872535374623057,0.859193036113398,0.6543,0.5821,0.5375,8622,8501,11877,12072,12500,0,0,"Control",3285,1998,4676,5024,3450,0.436660906553237,0.27354874041621,0.601724359799254,0.714956595986908,0.51346926625986,2787,1965,2990,87,3204,0.370463910673933,0.269030668127054,0.384763865654356,0.0123808168492956,0.476856675100461,1241,3090,0,1780,0,0.164960786920112,0.423055859802848,0,0.253308666571795,0,0,0,0,0,0,0,0,0,0,0
"EL MONTE",13602,13796,14275,13695,11824,13961,0.936528409476614,0.944551048765963,0.5637,0.4603,0.5018,14731,15113,24294,25688,27822,2,1,"Treated",6948,5636,6747,6501,4834,0.503624238909829,0.394816112084063,0.492661555312158,0.549813937753721,0.346250268605401,4840,7215,1923,4312,2030,0.350826326471441,0.505429071803853,0.140416210295728,0.36468200270636,0.145405056944345,538,0,4529,384,3833,0.0389968106697594,0,0.330704636728733,0.0324763193504736,0.274550533629396,392,545,0,162,3138,0.0284140330530589,0.0381786339754816,0,0.0137009472259811,0.224768999355347
"EL QUISCO",5604,6412,6768,6055,5692,7908,0.888580931263858,0.868694647670389,0.5888,0.5093,0.5738,7216,7791,10283,11176,13781,0,0,"Control",3332,2720,3265,2984,1789,0.519650655021834,0.401891252955083,0.539223781998348,0.524244553759663,0.226226605968639,2520,1247,1942,2079,1474,0.393013100436681,0.184249408983452,0.320726672171759,0.365249472944483,0.186393525543753,221,2088,547,422,2806,0.0344666250779788,0.308510638297872,0.0903385631709331,0.0741391426563598,0.354830551340415,104,420,0,0,1731,0.01621958827199,0.0620567375886525,0,0,0.218892261001517
"EL TABO",5605,5629,5996,5435,5024,7099,0.901649847829569,0.883583849101091,0.6375,0.5531,0.595,6243,6786,8526,9083,11931,0,0,"Control",2186,2777,2567,2394,2460,0.38834606502043,0.46314209472982,0.472309107635695,0.476512738853503,0.346527679954923,3216,842,1231,444,1311,0.571327056315509,0.140426951300867,0.226494940202392,0.088375796178344,0.184673897732075,0,1916,0,1686,3201,0,0.319546364242829,0,0.335589171974522,0.450908578673053,0,142,1505,325,0,0,0.02368245496998,0.276908923643054,0.0646894904458599,0
"EMPEDRADO",7104,2975,2983,3209,3021,3074,0.91991341991342,0.899035563592526,0.7498,0.6995,0.6652,3234,3318,4280,4319,4621,0,0,"Control",1087,1571,240,214,228,0.365378151260504,0.52665102246061,0.0747896540978498,0.0708374710360808,0.0741704619388419,1806,1270,1481,1272,574,0.607058823529412,0.42574589339591,0.461514490495481,0.421052631578947,0.18672739102147,0,0,1429,1493,2242,0,0,0.445310065440947,0.494207216153592,0.729342875731945,0,57,0,0,0,0,0.0191082802547771,0,0,0
"ERCILLA",9204,4478,4393,4396,4047,3649,0.83296130952381,0.807388347730197,0.5688,0.5117,0.4482,5376,5441,7728,7909,8142,10,1,"Treated",1673,1142,969,609,1488,0.373604287628406,0.259959025722741,0.220427661510464,0.150481838398814,0.407782954234037,1126,1246,1681,1796,488,0.251451540866458,0.283633052583656,0.382393084622384,0.443785520138374,0.133735269936969,599,1245,78,1521,1611,0.133765073693613,0.283405417709993,0.0177434030937216,0.37583395107487,0.441490819402576,887,560,1549,0,0,0.198079499776686,0.127475529251081,0.352365787079163,0,0
"ESTACION CENTRAL",13106,69595,67158,47661,33162,48402,0.86451268291471,0.870283018867924,0.3705,0.2624,0.3805,80502,77168,128650,126374,127214,9,1,"Treated",24093,12343,21549,12402,12842,0.346188662978662,0.183790464278269,0.452130672877195,0.37398226886195,0.265319614891947,24829,21404,22170,15440,6942,0.356764135354551,0.318711099198904,0.465160193869201,0.465593148784754,0.143423825461758,2492,0,0,1296,0,0.0358071700553201,0,0,0.0390808757011037,0,10137,25301,1948,2608,27722,0.1456570155902,0.376738437714047,0.040871991775246,0.0786442313491345,0.572744927895542
"FLORIDA",8104,6816,6864,6592,5649,4419,0.897787144362487,0.896083550913838,0.6431,0.558,0.4228,7592,7660,10250,10124,10451,0,0,"Control",2363,1554,1962,2632,1733,0.346684272300469,0.226398601398601,0.297633495145631,0.465923172242875,0.392170174247567,2276,1156,1632,1638,1570,0.333920187793427,0.168414918414918,0.247572815533981,0.28996282527881,0.355284000905182,1688,1641,845,0,855,0.247652582159624,0.239073426573427,0.12818567961165,0,0.193482688391039,0,2035,1886,1203,0,0,0.296474358974359,0.286104368932039,0.2129580456718,0
"FREIRE",9105,11946,12059,10161,9226,8529,0.850551797792809,0.853855413155845,0.4718,0.4194,0.3733,14045,14123,21537,21997,22845,2,1,"Treated",4340,5434,3150,3988,2683,0.363301523522518,0.450617795837134,0.310008857395926,0.432256665944071,0.314573807011373,4825,2915,4815,4647,2594,0.403900887326302,0.241728169831661,0.473870682019486,0.503685237372643,0.304138820494783,1327,1565,252,251,3052,0.111083207768291,0.12977858860602,0.024800708591674,0.027205722956861,0.357837964591394,410,1159,1378,0,0,0.034321111669178,0.0961107886226055,0.135616573171932,0,0
"FREIRINA",3303,3042,3260,3336,3186,3163,0.841726618705036,0.849622100599427,0.6185,0.5698,0.5255,3614,3837,5394,5591,6019,3,1,"Treated",1143,688,1695,1745,2085,0.375739644970414,0.211042944785276,0.508093525179856,0.547708725674827,0.659184318684793,842,1158,1153,985,981,0.276791584483892,0.35521472392638,0.345623501199041,0.309165097300691,0.310148593107809,794,257,436,408,0,0.261012491781723,0.0788343558282209,0.130695443645084,0.128060263653484,0,168,1046,0,0,0,0.0552268244575937,0.320858895705521,0,0,0
"FRESIA",10104,7579,7608,7337,6466,5738,0.885707607806474,0.891179571277966,0.6267,0.5456,0.4691,8557,8537,11708,11851,12233,2,1,"Treated",3280,3315,3317,3030,2592,0.432774772397414,0.435725552050473,0.452092135750307,0.468605010825858,0.451725339839665,3915,3187,3839,3290,2450,0.516558912785328,0.418901156677182,0.523238380809595,0.508815341787813,0.426978041129313,0,0,0,0,0,0,0,0,0,0,150,829,0,0,582,0.0197915292254915,0.108964248159832,0,0,0.101429069362147
