"Comuna","COD","Votacion_2004","Votacion_2008","Votacion_2012","Votacion_2016","Votacion_2021","Participacion_2004","Participacion_2008","Participacion_2012","Participacion_2016","Participacion_2021","Inscritos_2004","Inscritos_2008","Inscritos_Total_2012","Inscritos_Total_2016","Inscritos_Total_2021","n_prot","prot_dum","treat","concertatotal_2004","concertatotal_2008","concertatotal_2012","concertatotal_2016","concertatotal_2021","concerta_prop_2004","concerta_prop_2008","concerta_prop_2012","concerta_prop_2016","concerta_prop_2021","derechatotal_2004","derechatotal_2008","derechatotal_2012","derechatotal_2016","derechatotal_2021","derecha_prop_2004","derecha_prop_2008","derecha_prop_2012","derecha_prop_2016","derecha_prop_2021","indeptotal_2004","indeptotal_2008","indeptotal_2012","indeptotal_2016","indeptotal_2021","indep_prop_2004","indep_prop_2008","indep_prop_2012","indep_prop_2016","indep_prop_2021","otrostotal_2004","otrostotal_2008","otrostotal_2012","otrostotal_2016","otrostotal_2021","otros_prop_2004","otros_prop_2008","otros_prop_2012","otros_prop_2016","otros_prop_2021"
"ARAUCO",8202,15224,16125,15781,13325,13476,0.887076098356835,0.894392367851794,0.5555,0.451,0.4325,17162,18029,28409,29547,31158,5,1,"Treated",7039,5116,4827,2674,5132,0.462362059905413,0.317271317829457,0.305874152461821,0.200675422138837,0.38082517067379,5800,6113,8484,9219,0,0.380977404098791,0.379100775193798,0.53760851657056,0.691857410881801,0,902,3703,0,902,7782,0.0592485549132948,0.229643410852713,0,0.0676923076923077,0.577471059661621,689,349,1945,0,164,0.0452574881765633,0.0216434108527132,0.123249477219441,0,0.0121697833184921
"ARICA",15101,72790,71434,52971,48958,65630,0.74811404139859,0.735295934122491,0.3403,0.2907,0.3645,97298,97150,155653,168409,180060,102,1,"Treated",19722,10137,11384,6601,0,0.270943810963044,0.141907215051656,0.214910045119027,0.134829854160709,0,29344,23321,11668,10056,5395,0.403132298392636,0.326469188341686,0.22027146929452,0.205400547407982,0.0822032607039464,13107,28727,970,13948,23852,0.180065943124055,0.402147436794804,0.0183119065148855,0.284897258874954,0.363431357610849,2645,2295,25716,16532,34473,0.0363374089847507,0.0321275583055688,0.485473183439996,0.33767719269578,0.525262837117172
"AYSEN",11201,9289,9511,9432,7817,9463,0.747184684684685,0.746898068163971,0.4576,0.3623,0.419,12432,12734,20612,21576,22587,6,1,"Treated",1178,4356,3353,2930,4167,0.12681666487243,0.457996004626222,0.355491942324003,0.374824101317641,0.440346613124802,4662,4005,4011,4644,4128,0.501883948756594,0.421091367889812,0.425254452926209,0.594089804272739,0.436225298531121,2085,432,0,0,787,0.224459037571321,0.0454210913678898,0,0,0.0831660150058121,678,307,1853,0,217,0.0729895575411777,0.0322784144674587,0.196458863443596,0,0.0229314170981718
"BUIN",13402,29506,31971,29521,27302,34644,0.922004874695332,0.925568872676741,0.4997,0.4205,0.4599,32002,34542,59078,64927,75333,2,1,"Treated",12768,11646,15359,8597,8701,0.432725547346302,0.364267617528385,0.52027370346533,0.314885356384148,0.251154601085325,12382,15994,11144,14185,14378,0.419643462346641,0.500265865941009,0.377493987331052,0.519559006666178,0.415021360120079,605,0,0,943,5393,0.0205043042093134,0,0,0.0345395941689254,0.155669091328946,1419,2129,1893,3037,5845,0.0480919135091168,0.0665915986362641,0.0641238440432235,0.111237271994726,0.168716083593119
"BULNES",16102,11647,11540,11559,10111,9014,0.849835826340751,0.8408014571949,0.5981,0.5079,0.439,13705,13725,19325,19906,20535,0,0,"Control",6491,3334,4695,2589,1581,0.557310895509573,0.288908145580589,0.406177004931222,0.256057758876471,0.175393831817173,4210,3834,582,2246,1882,0.361466472052889,0.332235701906412,0.0503503763301324,0.222134309168233,0.208786332371866,0,3488,5943,1555,4424,0,0.302253032928943,0.514144822216455,0.153792898823064,0.490792101175949,401,369,0,3459,985,0.034429466815489,0.0319757365684575,0,0.342102660468796,0.109274461948081
"CABILDO",5402,9766,9893,9477,8745,8392,0.909226329019644,0.907198532783127,0.5516,0.494,0.4652,10741,10905,17181,17704,18038,2,1,"Treated",5207,4498,4016,2941,4274,0.53317632602908,0.454664914586071,0.423762794133165,0.336306460834763,0.509294566253575,3695,3828,2999,0,352,0.378353471226705,0.386940260790458,0.316450353487391,0,0.0419447092469018,0,0,2116,5611,2895,0,0,0.223277408462594,0.641623785020011,0.344971401334604,445,1038,0,0,674,0.0455662502559902,0.104922672596786,0,0,0.0803145853193518
"CABO DE HORNOS",12201,863,910,797,865,881,0.562948467058056,0.587475790832795,0.4483,0.4289,0.4038,1533,1549,1778,2017,2182,6,1,"Treated",497,308,96,439,449,0.575898030127462,0.338461538461538,0.120451693851945,0.507514450867052,0.509648127128263,293,87,42,424,359,0.339513325608343,0.0956043956043956,0.0526976160602258,0.490173410404624,0.407491486946651,57,494,354,0,62,0.0660486674391657,0.542857142857143,0.444165621079046,0,0.0703745743473326,0,0,295,0,0,0,0,0.370138017565872,0,0
"CABRERO",8303,13073,13353,14081,14003,12195,0.897994229976645,0.896174496644295,0.625,0.5873,0.4858,14558,14900,22528,23844,25103,0,0,"Control",9119,8388,5347,3863,633,0.697544557484893,0.628173444169849,0.379731553156736,0.275869456545026,0.0519065190651906,3156,2744,364,602,0,0.241413600550753,0.205496892084176,0.0258504367587529,0.0429907876883525,0,0,0,7924,9348,11407,0,0,0.562744123286698,0.667571234735414,0.935383353833538,0,939,0,0,0,0,0.0703212761177264,0,0,0
"CALAMA",2201,54412,54168,42656,34793,45826,0.768607065670335,0.77250427837992,0.3673,0.2833,0.3463,70793,70120,116119,122815,132333,9,1,"Treated",22759,17916,13892,7764,6891,0.418271704771006,0.330748781568454,0.325675168792198,0.223148334435088,0.150373150613189,8052,7823,0,11696,9895,0.147982062780269,0.144421060404667,0,0.336159572327767,0.215925457164055,14745,921,0,4237,10147,0.270988017349114,0.017002658396101,0,0.121777369011008,0.221424518832104,3862,22443,27017,9948,17973,0.0709769903697714,0.41432210899424,0.633369279819955,0.285919581525019,0.392200933967617
"CALBUCO",10102,12806,13173,12313,12203,13090,0.813285913882891,0.825324227805275,0.4226,0.4009,0.4039,15746,15961,29136,30439,32409,10,1,"Treated",6524,5935,5765,3491,2303,0.509448695923786,0.450542776892128,0.468204336879721,0.28607719413259,0.175935828877005,2279,4256,4676,1870,2096,0.177963454630642,0.323085098307143,0.379761227970438,0.153241006309924,0.160122230710466,0,0,0,2968,7885,0,0,0,0.24321888060313,0.602368220015279,2455,1251,844,3077,400,0.191707012337967,0.0949669779093601,0.0685454397790953,0.252151110382693,0.0305576776165011
"CALDERA",3102,6368,6706,6708,6593,7331,0.786269909865415,0.803402420031149,0.5316,0.4824,0.488,8099,8347,12618,13668,15024,14,1,"Treated",1012,3468,2926,3906,3805,0.15891959798995,0.517148821950492,0.436195587358378,0.592446534202942,0.519028781885145,1286,2923,3549,1908,2128,0.201947236180905,0.435878317924247,0.529069767441861,0.289397846200516,0.290274178147592,3850,0,106,545,1013,0.604585427135678,0,0.0158020274299344,0.0826634309115729,0.138180330105033,0,0,0,129,276,0,0,0,0.0195662065827393,0.037648342654481
