Comuna;Mesas_Total_2017b;Inscritos_Total_2017b;Votacion_2017b;Participacion_2017b
NANCAGUA;43;14681;7847;0.5345
NAVIDAD;19;5779;3115;0.539
OLIVAR;38;11900;6484;0.5449
PALMILLA;30;10094;5481;0.543
PAREDONES;22;6587;3481;0.5285
PERALILLO;30;9766;5218;0.5343
PEUMO;37;12468;6427;0.5155
PICHIDEGUA;48;16114;8036;0.4987
PICHILEMU;39;13345;7566;0.567
PLACILLA;25;7930;4615;0.582
PUMANQUE;13;3833;2121;0.5534
QUINTA DE TILCOCO;35;11916;6852;0.575
RANCAGUA;559;189939;95440;0.5025
RENGO;136;47074;23969;0.5092
REQUINOA;64;21771;11397;0.5235
SAN FERNANDO;178;60962;32139;0.5272
SANTA CRUZ;88;30272;15234;0.5032
SAN VICENTE;113;38951;19636;0.5041
CAUQUENES;119;37336;19565;0.524
CHANCO;28;9193;5231;0.569
COLBUN;51;17015;8221;0.4832
CONSTITUCION;116;38901;19525;0.5019
CUREPTO;30;10152;5183;0.5105
CURICO;327;112702;59200;0.5253
EMPEDRADO;14;4332;2395;0.5529
HUALANE;29;9318;5325;0.5715
LICANTEN;22;6787;3661;0.5394
LINARES;233;80185;39749;0.4957
LONGAVI;74;25681;12748;0.4964
MAULE;60;20151;10718;0.5319
MOLINA;115;37949;20509;0.5404
PARRAL;119;37035;19467;0.5256
PELARCO;25;8097;4408;0.5444
PELLUHUE;21;6851;4077;0.5951
PENCAHUE;35;10231;5979;0.5844
RAUCO;28;9446;5189;0.5493
RETIRO;48;16427;8908;0.5423
RIO CLARO;33;11245;6089;0.5415
ROMERAL;39;13178;7122;0.5404
SAGRADA FAMILIA;45;15366;8477;0.5517
SAN CLEMENTE;105;35529;17735;0.4992
SAN JAVIER;111;37641;19217;0.5105
SAN RAFAEL;24;7847;4465;0.569
TALCA;511;174921;93397;0.5339
TENO;69;23742;11518;0.4851
VICHUQUEN;14;4965;2940;0.5921
VILLA ALEGRE;41;13069;7004;0.5359
YERBAS BUENAS;44;13995;7416;0.5299
ALTO BIOBIO;16;5290;2008;0.3796
ANTUCO;14;4440;2040;0.4595
ARAUCO;109;29925;15240;0.5093
BULNES;65;20161;10516;0.5216
CABRERO;71;24289;12397;0.5104
CANETE;84;28748;13768;0.4789
CHIGUAYANTE;190;64745;34340;0.5304
CHILLAN;434;148780;77662;0.522
CHILLAN VIEJO;59;19940;11440;0.5737
COBQUECURA;19;5647;3263;0.5778
COELEMU;50;14930;8506;0.5697
COIHUECO;60;20925;11127;0.5318
CONCEPCION;600;199158;102508;0.5147
CONTULMO;16;5834;3125;0.5357
CORONEL;253;86427;42512;0.4919
CURANILAHUE;89;30333;14713;0.485
EL CARMEN;38;12165;6513;0.5354
FLORIDA;32;10199;5362;0.5257
HUALPEN;243;76227;40238;0.5279
HUALQUI;56;19339;9515;0.492
LAJA;65;21252;10466;0.4925
LEBU;66;21627;10067;0.4655
LOS ALAMOS;57;17286;8995;0.5204
LOS ANGELES;453;156194;76676;0.4909
LOTA;146;48093;24262;0.5045
MULCHEN;78;26264;12902;0.4912
NACIMIENTO;71;24219;12030;0.4967
NEGRETE;26;8640;4803;0.5559
NINHUE;19;6049;3316;0.5482
NIQUEN;32;10235;5407;0.5283
PEMUCO;26;8064;4177;0.518
PENCO;122;41331;22075;0.5341
PINTO;31;10716;6128;0.5719
PORTEZUELO;17;5818;3221;0.5536
QUILACO;13;4150;2209;0.5323
QUILLECO;27;9132;4503;0.4931
QUILLON;45;14834;7646;0.5154
QUIRIHUE;34;10738;5777;0.538
RANQUIL;17;5504;3022;0.5491
SAN CARLOS;135;46396;23179;0.4996
SAN FABIAN;15;4633;2295;0.4954
SAN IGNACIO;41;13950;7290;0.5226
SAN NICOLAS;35;10618;5883;0.5541
SAN PEDRO DE LA PAZ;237;80495;43281;0.5377
SAN ROSENDO;13;4511;2345;0.5198
SANTA BARBARA;38;13008;6462;0.4968
SANTA JUANA;37;12313;6287;0.5106
TALCAHUANO;399;133151;64083;0.4813
TIRUA;26;8720;4431;0.5081
TOME;149;49053;25059;0.5109
TREGUACO;20;6098;3480;0.5707
TUCAPEL;35;12518;6191;0.4946
YUMBEL;62;19700;9997;0.5075
YUNGAY;49;15687;7691;0.4903
ANGOL;136;46499;23160;0.4981
CARAHUE;71;24051;11197;0.4656
CHOLCHOL;29;9938;5245;0.5278
COLLIPULLI;66;21603;10363;0.4797
CUNCO;56;19463;8560;0.4398
CURACAUTIN;63;20745;8106;0.3907
CURARREHUE;24;7952;3477;0.4372
ERCILLA;25;7940;3510;0.4421
FREIRE;68;22184;10339;0.4661
GALVARINO;36;11929;5599;0.4694
GORBEA;47;15396;7828;0.5084
LAUTARO;96;33042;15918;0.4818
LONCOCHE;67;22362;10440;0.4669
LONQUIMAY;38;11634;4913;0.4223
LOS SAUCES;23;7396;4037;0.5458
LUMACO;28;9068;4876;0.5377
MELIPEUCO;22;7290;3012;0.4132
NUEVA IMPERIAL;88;29880;14797;0.4952
PADRE LAS CASAS;163;55662;25755;0.4627
PERQUENCO;20;6379;3326;0.5214
PITRUFQUEN;65;22039;10901;0.4946
PUCON;73;25198;11096;0.4404
PUREN;38;12022;6122;0.5092
RENAICO;29;9168;4669;0.5093
SAAVEDRA;38;12801;5803;0.4533
TEMUCO;681;228212;113300;0.4965
TEODORO SCHMIDT;44;13835;7549;0.5456
TOLTEN;31;10438;4948;0.474
TRAIGUEN;58;18582;9027;0.4858
VICTORIA;97;32115;15183;0.4728
VILCUN;68;23004;11210;0.4873
VILLARRICA;148;50205;23410;0.4663
CORRAL;18;5397;2704;0.501
FUTRONO;43;13949;6687;0.4794
LAGO RANCO;30;8982;4498;0.5008
LANCO;49;15702;7766;0.4946
LA UNION;109;35313;17418;0.4932
LOS LAGOS;60;18267;8441;0.4621
MAFIL;21;6854;3361;0.4904
MARIQUINA;61;17904;8342;0.4659
PAILLACO;63;18706;9315;0.498
PANGUIPULLI;101;33374;14185;0.425
RIO BUENO;99;30164;14449;0.479
VALDIVIA;396;132345;67140;0.5073
ANCUD;111;37998;16134;0.4246
CALBUCO;90;30955;12534;0.4049
CASTRO;129;39467;17068;0.4325
CHAITEN;14;5124;1363;0.266
CHONCHI;36;12354;5907;0.4781
COCHAMO;15;4438;1565;0.3526
CURACO DE VELEZ;11;3636;1722;0.4736
DALCAHUE;33;11537;4782;0.4145
FRESIA;38;12019;6448;0.5365
FRUTILLAR;45;15232;8316;0.546
FUTALEUFU;11;3631;1033;0.2845
HUALAIHUE;24;8119;3438;0.4235
LLANQUIHUE;46;15642;7982;0.5103
LOS MUERMOS;47;15801;7872;0.4982
MAULLIN;47;15154;6469;0.4269
OSORNO;433;140080;67487;0.4818
PALENA;7;2302;712;0.3093
PUERTO MONTT;514;174918;78853;0.4508
PUERTO OCTAY;27;8772;4289;0.4889
PUERTO VARAS;112;37759;19633;0.52
PUQUELDON;13;4280;1712;0.4
PURRANQUE;64;19632;9855;0.502
PUYEHUE;35;11114;6034;0.5429
QUEILEN;18;5957;2608;0.4378
QUELLON;63;21481;8792;0.4093
QUEMCHI;32;8795;3461;0.3935
QUINCHAO;27;9128;3173;0.3476
RIO NEGRO;42;13154;6776;0.5151
SAN JUAN DE LA COSTA;23;7699;3796;0.4931
SAN PABLO;29;9721;5057;0.5202
AYSEN;67;21890;8773;0.4008
CHILE CHICO;19;6209;1850;0.298
CISNES;14;4253;1829;0.43
COCHRANE;9;3267;1370;0.4193
COYHAIQUE;163;52542;21322;0.4058
GUAITECAS;5;1590;618;0.3887
LAGO VERDE;4;1196;496;0.4147
OHIGGINS;2;699;238;0.3405
RIO IBANEZ;10;2886;1342;0.465
TORTEL;2;546;201;0.3681
ANTARTICA;1;327;25;0.0765
CABO DE HORNOS;5;1943;568;0.2923
LAGUNA BLANCA;3;944;294;0.3114
NATALES;68;21392;7729;0.3613
PORVENIR;15;6183;1861;0.301
PRIMAVERA;4;1416;279;0.197
PUNTA ARENAS;377;121321;48303;0.3981
RIO VERDE;2;825;252;0.3055
SAN GREGORIO;3;1072;278;0.2593
TIMAUKEL;3;974;144;0.1478
TORRES DEL PAINE;5;1747;555;0.3177
