Comuna;Mesas_Total_2012;Inscritos_Total_2012;Votacion_2012;Participacion_2012
ARICA;502;155653;52971;0.3403
CAMARONES;16;4839;2632;0.5439
GENERAL LAGOS;10;3001;1313;0.4375
PUTRE;25;7028;2779;0.3954
ALTO HOSPICIO;119;39080;13149;0.3365
CAMINA;10;2963;1680;0.567
COLCHANE;10;2841;1569;0.5523
HUARA;30;9866;2643;0.2679
IQUIQUE;445;147085;58833;0.4
PICA;16;4719;3044;0.6451
POZO ALMONTE;35;10299;4572;0.4439
ANTOFAGASTA;702;239540;76196;0.3181
CALAMA;350;116119;42656;0.3673
MARIA ELENA;27;7226;2634;0.3645
MEJILLONES;28;8425;4694;0.5572
OLLAGUE;6;1724;723;0.4194
SAN PEDRO DE ATACAMA;15;5158;3117;0.6043
SIERRA GORDA;13;3172;1118;0.3525
TALTAL;31;9633;5344;0.5548
TOCOPILLA;67;21386;9223;0.4313
ALTO DEL CARMEN;17;4990;3058;0.6128
CALDERA;40;12618;6708;0.5316
CHANARAL;37;11711;5412;0.4621
COPIAPO;319;108673;42121;0.3876
DIEGO DE ALMAGRO;47;14689;5484;0.3733
FREIRINA;17;5394;3336;0.6185
HUASCO;24;7574;4342;0.5733
TIERRA AMARILLA;34;10892;6200;0.5692
VALLENAR;130;42582;18142;0.426
ANDACOLLO;33;11012;6273;0.5697
CANELA;28;8480;5313;0.6265
COMBARBALA;38;12043;6747;0.5602
COQUIMBO;410;138863;53720;0.3869
ILLAPEL;76;25861;13261;0.5128
LA HIGUERA;13;4171;2662;0.6382
LA SERENA;422;143627;49811;0.3468
LOS VILOS;52;16417;8886;0.5413
MONTE PATRIA;86;25807;12938;0.5013
OVALLE;248;82178;36189;0.4404
PAIHUANO;14;4557;2970;0.6517
PUNITAQUI;31;9718;5598;0.576
RIO HURTADO;17;4744;2903;0.6119
SALAMANCA;64;20756;10784;0.5196
VICUNA;60;20358;10966;0.5387
ALGARROBO;32;10776;6180;0.5735
CABILDO;51;17181;9477;0.5516
CALERA;124;42220;18423;0.4364
CALLE LARGA;30;10057;6150;0.6115
CARTAGENA;53;16330;9276;0.568
CASABLANCA;58;19756;11330;0.5735
CATEMU;33;11298;6521;0.5772
CONCON;90;30629;16857;0.5504
EL QUISCO;35;10283;6055;0.5888
EL TABO;30;8526;5435;0.6375
HIJUELAS;41;14109;7722;0.5473
ISLA DE PASCUA;14;4668;2392;0.5124
JUAN FERNANDEZ;3;841;508;0.604
LA CRUZ;35;12008;6625;0.5517
LA LIGUA;81;27543;15550;0.5646
LIMACHE;101;34528;15783;0.4571
LLAY LLAY;57;19494;10682;0.548
LOS ANDES;153;51679;21268;0.4115
NOGALES;65;18455;10098;0.5472
OLMUE;41;13801;7738;0.5607
PANQUEHUE;18;5969;3871;0.6485
PAPUDO;16;4908;3474;0.7078
PETORCA;30;9014;5353;0.5939
PUCHUNCAVI;38;12571;7910;0.6292
PUTAENDO;37;12682;7345;0.5792
QUILLOTA;201;68502;30642;0.4473
QUILPUE;350;117984;40735;0.3453
QUINTERO;63;20714;11377;0.5492
RINCONADA;24;7855;5283;0.6726
SAN ANTONIO;219;74189;31981;0.4311
SAN ESTEBAN;39;13246;7745;0.5847
SAN FELIPE;162;55149;25139;0.4558
SANTA MARIA;33;11112;6976;0.6278
SANTO DOMINGO;35;10245;5797;0.5658
VALPARAISO;887;281414;93410;0.3319
VILLA ALEMANA;242;83042;30414;0.3662
VINA DEL MAR;869;286203;101438;0.3544
ZAPALLAR;23;6930;4361;0.6293
ALHUE;20;6676;3218;0.482
BUIN;172;59078;29521;0.4997
CALERA DE TANGO;55;18706;10508;0.5617
CERRILLOS;199;66009;24616;0.3729
CERRO NAVIA;338;115602;47411;0.4101
COLINA;194;66403;28426;0.4281
CONCHALI;385;119810;44921;0.3749
CURACAVI;64;21969;12406;0.5647
EL BOSQUE;412;135613;49255;0.3632
EL MONTE;71;24294;13695;0.5637
ESTACION CENTRAL;396;128650;47661;0.3705
HUECHURABA;179;60752;27677;0.4556
INDEPENDENCIA;234;75749;29526;0.3898
ISLA DE MAIPO;68;23249;11331;0.4874
LA CISTERNA;258;83133;30478;0.3666
LA FLORIDA;833;285274;113648;0.3984
LA GRANJA;302;102932;32869;0.3193
LAMPA;118;40612;19881;0.4895
LA PINTANA;374;127086;38931;0.3063
LA REINA;280;86906;37191;0.4279
LAS CONDES;695;231725;91532;0.395
LO BARNECHEA;181;61766;27087;0.4385
