Comuna;Mesas_Total_2012;Inscritos_Total_2012;Votacion_2012;Participacion_2012
LO ESPEJO;298;93196;31386;0.3368
LO PRADO;259;88761;35181;0.3964
MACUL;343;98497;40377;0.4099
MAIPU;981;336451;120283;0.3575
MARIA PINTO;28;9438;5409;0.5731
MELIPILLA;249;85502;37197;0.435
NUNOA;571;173848;78788;0.4532
PADRE HURTADO;98;33556;16867;0.5027
PAINE;139;44281;22601;0.5104
PEDRO AGUIRRE CERDA;332;96543;40898;0.4236
PENAFLOR;182;62226;29173;0.4688
PENALOLEN;505;172047;68392;0.3975
PIRQUE;55;18857;9458;0.5016
PROVIDENCIA;468;156600;68416;0.4369
PUDAHUEL;433;148053;51626;0.3487
PUENTE ALTO;951;326060;96071;0.2946
QUILICURA;322;110589;44403;0.4015
QUINTA NORMAL;292;98584;35913;0.3643
RECOLETA;464;153271;51400;0.3354
RENCA;319;109142;42899;0.3931
SAN BERNARDO;597;204635;69956;0.3419
SAN JOAQUIN;263;83756;29625;0.3537
SAN JOSE DE MAIPO;42;14218;7742;0.5445
SAN MIGUEL;279;94319;34530;0.3661
SAN PEDRO;23;7345;4671;0.6359
SAN RAMON;241;82113;31887;0.3883
SANTIAGO;810;266963;87097;0.3263
TALAGANTE;145;49821;26249;0.5269
TILTIL;38;12716;7009;0.5512
VITACURA;258;78474;35234;0.449
CHEPICA;39;13042;8214;0.6298
CHIMBARONGO;80;27454;13741;0.5005
CODEGUA;30;10139;6380;0.6293
COINCO;20;6457;4220;0.6536
COLTAUCO;41;14097;7354;0.5217
DONIHUE;55;16667;9096;0.5457
GRANEROS;71;24108;13990;0.5803
LA ESTRELLA;12;3264;2611;0.7999
LAS CABRAS;59;18120;10399;0.5739
LITUECHE;19;5513;4219;0.7653
LOLOL;21;6496;4961;0.7637
MACHALI;85;27729;13250;0.4778
MALLOA;40;11533;7679;0.6658
MARCHIGUE;22;6481;4388;0.6771
MOSTAZAL;54;18397;11483;0.6242
NANCAGUA;42;14090;8541;0.6062
NAVIDAD;19;5510;3549;0.6441
OLIVAR;39;11166;6761;0.6055
PALMILLA;29;9768;6292;0.6441
PAREDONES;21;6196;4212;0.6798
PERALILLO;29;9358;6105;0.6524
PEUMO;36;11927;7712;0.6466
PICHIDEGUA;45;15363;9148;0.5955
PICHILEMU;39;11904;7315;0.6145
PLACILLA;25;7430;5330;0.7174
PUMANQUE;13;3702;2665;0.7199
QUINTA DE TILCOCO;35;11472;7686;0.67
RANCAGUA;523;177818;71918;0.4044
RENGO;132;43807;21601;0.4931
REQUINOA;60;20164;11582;0.5744
SAN FERNANDO;170;57008;26865;0.4712
SANTA CRUZ;86;28402;15260;0.5373
SAN VICENTE;109;36195;20251;0.5595
CAUQUENES;119;36337;21576;0.5938
CHANCO;32;9119;6523;0.7153
COLBUN;49;16029;10095;0.6298
CONSTITUCION;116;37020;19709;0.5324
CUREPTO;36;10141;6314;0.6226
CURICO;305;104530;50107;0.4794
EMPEDRADO;14;4280;3209;0.7498
HUALANE;31;8877;6020;0.6782
LICANTEN;23;6693;4537;0.6779
LINARES;218;74762;36314;0.4857
LONGAVI;72;24599;15553;0.6323
MAULE;53;17077;9722;0.5693
MOLINA;109;36073;21043;0.5833
PARRAL;108;35192;19729;0.5606
PELARCO;25;7804;4940;0.633
PELLUHUE;23;6431;4618;0.7181
PENCAHUE;33;9956;6968;0.6999
RAUCO;28;9128;5886;0.6448
RETIRO;46;15429;9772;0.6334
RIO CLARO;31;10489;6532;0.6227
ROMERAL;37;12515;7933;0.6339
SAGRADA FAMILIA;46;14722;9643;0.655
SAN CLEMENTE;98;33590;17967;0.5349
SAN JAVIER;110;35465;18490;0.5214
SAN RAFAEL;24;7464;5075;0.6799
TALCA;479;163725;76375;0.4665
TENO;65;22253;12192;0.5479
VICHUQUEN;18;4898;3619;0.7389
VILLA ALEGRE;41;12562;7392;0.5884
YERBAS BUENAS;43;13486;8576;0.6359
ALTO BIOBIO;15;4878;2951;0.605
ANTUCO;14;4363;2579;0.5911
ARAUCO;84;28409;15781;0.5555
BULNES;64;19325;11559;0.5981
CABRERO;70;22528;14081;0.625
CANETE;80;27123;14002;0.5162
CHIGUAYANTE;173;59167;27755;0.4691
CHILLAN;412;139256;63033;0.4526
CHILLAN VIEJO;54;17979;11189;0.6223
COBQUECURA;20;5332;3718;0.6973
COELEMU;49;14609;9769;0.6687
COIHUECO;64;19881;11918;0.5995
CONCEPCION;616;196876;74977;0.3808
CONTULMO;21;5645;3496;0.6193
CORONEL;238;81026;40208;0.4962
CURANILAHUE;86;29217;16084;0.5505
EL CARMEN;39;11877;7771;0.6543
FLORIDA;34;10250;6592;0.6431
HUALPEN;243;73497;33104;0.4504
HUALQUI;55;18204;10298;0.5657
LAJA;64;20586;11467;0.557
LEBU;65;20959;11145;0.5318
LOS ALAMOS;49;16291;10045;0.6166
LOS ANGELES;419;142275;61878;0.4349
LOTA;146;47899;26104;0.545
MULCHEN;77;25309;13695;0.5411
NACIMIENTO;68;23199;12850;0.5539
NEGRETE;25;8208;5555;0.6768
NINHUE;21;6052;4489;0.7417
NIQUEN;33;10039;6466;0.6441
PEMUCO;26;7697;5238;0.6805
PENCO;121;39719;22662;0.5706
PINTO;35;10616;6815;0.642
PORTEZUELO;20;5848;4131;0.7064
QUILACO;15;4256;2930;0.6884
QUILLECO;31;9111;5746;0.6307
QUILLON;47;14147;8631;0.6101
QUIRIHUE;34;10520;6817;0.648
RANQUIL;19;5572;3940;0.7071
SAN CARLOS;137;44389;23596;0.5316
SAN FABIAN;17;4632;3077;0.6643
SAN IGNACIO;47;13691;8582;0.6268
SAN NICOLAS;34;9591;6398;0.6671
SAN PEDRO DE LA PAZ;205;69750;30958;0.4438
SAN ROSENDO;16;4312;3075;0.7131
SANTA BARBARA;37;12432;6751;0.543
SANTA JUANA;36;11805;7527;0.6376
TALCAHUANO;411;130722;50494;0.3863
TIRUA;25;8275;5457;0.6595
TOME;150;47205;24613;0.5214
TREGUACO;20;5628;4443;0.7894
TUCAPEL;43;11955;7694;0.6436
YUMBEL;66;19184;11775;0.6138
YUNGAY;48;14972;8922;0.5959
ANGOL;135;44164;22345;0.506
CARAHUE;77;23674;13414;0.5666
CHOLCHOL;28;9218;6101;0.6619
COLLIPULLI;65;20860;10756;0.5156
CUNCO;60;18872;8620;0.4568
CURACAUTIN;59;20382;8514;0.4177
CURARREHUE;23;7656;4591;0.5997
ERCILLA;26;7728;4396;0.5688
FREIRE;72;21537;10161;0.4718
GALVARINO;35;11494;6498;0.5653
GORBEA;48;15171;7966;0.5251
LAUTARO;92;30507;14957;0.4903
LONCOCHE;69;21588;9730;0.4507
LONQUIMAY;36;11119;6040;0.5432
LOS SAUCES;26;7295;4863;0.6666
LUMACO;32;9186;5937;0.6463
MELIPEUCO;21;7065;3594;0.5087
NUEVA IMPERIAL;87;28727;15680;0.5458
PADRE LAS CASAS;149;50404;21646;0.4295
PERQUENCO;20;6304;4100;0.6504
PITRUFQUEN;65;20826;10946;0.5256
PUCON;66;22412;10648;0.4751
PUREN;38;11647;6773;0.5815
RENAICO;29;8840;5491;0.6212
SAAVEDRA;40;12672;6591;0.5201
TEMUCO;637;214666;82421;0.3839
TEODORO SCHMIDT;48;13457;8436;0.6269
TOLTEN;33;10174;5358;0.5266
TRAIGUEN;59;18241;10048;0.5508
VICTORIA;98;31243;14506;0.4643
VILCUN;67;21797;11280;0.5175
VILLARRICA;137;46640;18834;0.4038
CORRAL;17;5248;3194;0.6086
FUTRONO;42;13176;6847;0.5197
LAGO RANCO;30;8846;4892;0.553
LANCO;49;15040;8195;0.5449
LA UNION;106;34248;17282;0.5046
LOS LAGOS;54;17565;8864;0.5046
MAFIL;22;6747;3885;0.5758
MARIQUINA;52;16708;9418;0.5637
PAILLACO;56;18235;10279;0.5637
PANGUIPULLI;105;31937;14240;0.4459
RIO BUENO;90;29097;15758;0.5416
VALDIVIA;364;124303;47415;0.3814
ANCUD;111;36301;17765;0.4894
CALBUCO;92;29136;12313;0.4226
CASTRO;109;35801;14747;0.4119
CHAITEN;21;5488;2211;0.4029
CHONCHI;34;11662;6884;0.5903
COCHAMO;16;4399;2257;0.5131
CURACO DE VELEZ;11;3376;2286;0.6771
DALCAHUE;33;10629;5534;0.5207
FRESIA;40;11708;7337;0.6267
FRUTILLAR;43;13715;8062;0.5878
FUTALEUFU;10;3397;1528;0.4498
HUALAIHUE;30;8005;4958;0.6194
LLANQUIHUE;42;14347;8346;0.5817
LOS MUERMOS;46;14986;7681;0.5125
MAULLIN;49;14805;7570;0.5113
OSORNO;418;133838;50483;0.3772
PALENA;7;2171;1206;0.5555
PUERTO MONTT;475;158013;52852;0.3345
PUERTO OCTAY;29;8571;4543;0.53
PUERTO VARAS;105;33554;16385;0.4883
PUQUELDON;13;4282;2625;0.613
PURRANQUE;62;19339;10318;0.5335
PUYEHUE;35;10773;6699;0.6218
QUEILEN;17;5741;3456;0.602
QUELLON;58;19957;9492;0.4756
QUEMCHI;25;8477;4303;0.5076
QUINCHAO;29;9027;3877;0.4295
RIO NEGRO;44;12956;7333;0.566
SAN JUAN DE LA COSTA;29;7604;4210;0.5537
SAN PABLO;32;9623;5530;0.5747
AYSEN;69;20612;9432;0.4576
CHILE CHICO;19;6058;2583;0.4264
CISNES;15;4042;2288;0.5661
COCHRANE;10;3045;1564;0.5136
COYHAIQUE;157;49891;17778;0.3563
GUAITECAS;5;1455;952;0.6543
LAGO VERDE;5;1100;843;0.7664
OHIGGINS;3;697;414;0.594
RIO IBANEZ;11;2601;1566;0.6021
TORTEL;2;507;373;0.7357
ANTARTICA;2;367;26;0.0708
CABO DE HORNOS;7;1778;797;0.4483
LAGUNA BLANCA;5;1204;720;0.598
NATALES;65;20676;8164;0.3949
PORVENIR;22;6374;2373;0.3723
PRIMAVERA;6;1473;759;0.5153
PUNTA ARENAS;357;115955;32261;0.2782
RIO VERDE;4;966;609;0.6304
SAN GREGORIO;5;1266;730;0.5766
TIMAUKEL;4;1024;577;0.5635
TORRES DEL PAINE;6;1646;1196;0.7266
