Comuna;Validos_2000;Validosp_2000;Nulos_2000;Nulosp_2000;Blancos_2000;Blancosp_2000;Votacion_2000
ARICA;70429;0.9118;4799;0.0621;2013;0.0261;77241
CAMARONES;1807;0.9551;63;0.0333;22;0.0116;1892
CAMINA;1732;0.9774;24;0.0135;16;0.009;1772
COLCHANE;1034;0.9709;17;0.016;14;0.0131;1065
GENERAL LAGOS;1192;0.9423;49;0.0387;24;0.019;1265
HUARA;2568;0.9687;59;0.0223;24;0.0091;2651
IQUIQUE;76073;0.9535;2687;0.0337;1027;0.0129;79787
PICA;2559;0.9741;42;0.016;26;0.0099;2627
POZO ALMONTE;4311;0.9415;176;0.0384;92;0.0201;4579
PUTRE;3067;0.9507;104;0.0322;55;0.017;3226
ANTOFAGASTA;96887;0.9081;7167;0.0672;2634;0.0247;106688
CALAMA;52271;0.9117;3722;0.0649;1338;0.0233;57331
MARIA ELENA;4300;0.9436;173;0.038;84;0.0184;4557
MEJILLONES;4012;0.9605;117;0.028;48;0.0115;4177
OLLAGUE;662;0.9881;3;0.0045;5;0.0075;670
SAN PEDRO DE ATACAMA;2269;0.9635;56;0.0238;30;0.0127;2355
SIERRA GORDA;1397;0.9701;33;0.0229;10;0.0069;1440
TALTAL;4806;0.9666;110;0.0221;56;0.0113;4972
TOCOPILLA;11444;0.9308;638;0.0519;213;0.0173;12295
ALTO DEL CARMEN;2374;0.9504;59;0.0236;65;0.026;2498
CALDERA;5858;0.9627;144;0.0237;83;0.0136;6085
CHANARAL;6207;0.9443;231;0.0351;135;0.0205;6573
COPIAPO;46932;0.9287;2450;0.0485;1153;0.0228;50535
DIEGO DE ALMAGRO;7889;0.9332;391;0.0463;174;0.0206;8454
FREIRINA;2959;0.9724;43;0.0141;41;0.0135;3043
HUASCO;4143;0.9799;51;0.0121;34;0.008;4228
TIERRA AMARILLA;5545;0.9414;218;0.037;127;0.0216;5890
VALLENAR;22782;0.9469;770;0.032;507;0.0211;24059
ANDACOLLO;6670;0.9501;218;0.0311;132;0.0188;7020
CANELA;4878;0.9404;151;0.0291;158;0.0305;5187
COMBARBALA;6853;0.9488;213;0.0295;157;0.0217;7223
COQUIMBO;56397;0.9292;2948;0.0486;1349;0.0222;60694
ILLAPEL;13634;0.9505;442;0.0308;268;0.0187;14344
LA HIGUERA;2176;0.9582;46;0.0203;49;0.0216;2271
LA SERENA;63113;0.914;4090;0.0592;1850;0.0268;69053
LOS VILOS;7891;0.9348;331;0.0392;219;0.0259;8441
MONTE PATRIA;14087;0.932;518;0.0343;509;0.0337;15114
OVALLE;39918;0.9155;2263;0.0519;1420;0.0326;43601
PAIHUANO;2452;0.9646;52;0.0205;38;0.0149;2542
PUNITAQUI;5319;0.9503;176;0.0314;102;0.0182;5597
RIO HURTADO;2660;0.9624;54;0.0195;50;0.0181;2764
SALAMANCA;10396;0.9503;313;0.0286;231;0.0211;10940
VICUNA;10978;0.943;392;0.0337;271;0.0233;11641
ALGARROBO;5008;0.9681;115;0.0222;50;0.0097;5173
CABILDO;9489;0.9546;280;0.0282;171;0.0172;9940
CALERA;24085;0.9276;1246;0.048;634;0.0244;25965
CALLE LARGA;5591;0.9392;218;0.0366;144;0.0242;5953
CARTAGENA;9334;0.9537;315;0.0322;138;0.0141;9787
CASABLANCA;9975;0.9442;358;0.0339;232;0.022;10565
CATEMU;6313;0.9472;182;0.0273;170;0.0255;6665
CONCON;13685;0.9316;683;0.0465;321;0.0219;14689
EL QUISCO;5237;0.9723;106;0.0197;43;0.008;5386
EL TABO;4509;0.9604;138;0.0294;48;0.0102;4695
HIJUELAS;7803;0.9226;379;0.0448;276;0.0326;8458
ISLA DE PASCUA;1470;0.9608;45;0.0294;15;0.0098;1530
JUAN FERNANDEZ;357;0.9808;5;0.0137;2;0.0055;364
LA CRUZ;6534;0.9376;257;0.0369;178;0.0255;6969
LA LIGUA;15078;0.9425;499;0.0312;421;0.0263;15998
LIMACHE;17215;0.899;1305;0.0682;628;0.0328;19148
LLAY LLAY;10979;0.9458;405;0.0349;224;0.0193;11608
LOS ANDES;26713;0.9242;1463;0.0506;729;0.0252;28905
NOGALES;10307;0.9361;461;0.0419;242;0.022;11010
OLMUE;7465;0.9372;331;0.0416;169;0.0212;7965
PANQUEHUE;3412;0.9563;76;0.0213;80;0.0224;3568
PAPUDO;3081;0.984;31;0.0099;19;0.0061;3131
PETORCA;4989;0.9476;148;0.0281;128;0.0243;5265
PUCHUNCAVI;6375;0.9571;172;0.0258;114;0.0171;6661
PUTAENDO;7247;0.9404;250;0.0324;209;0.0271;7706
QUILLOTA;36364;0.9293;1877;0.048;888;0.0227;39129
QUILPUE;51904;0.8923;4700;0.0808;1562;0.0269;58166
QUINTERO;10239;0.9453;392;0.0362;200;0.0185;10831
RINCONADA;4372;0.9544;126;0.0275;83;0.0181;4581
SAN ANTONIO;39337;0.912;2725;0.0632;1072;0.0249;43134
SAN ESTEBAN;7097;0.9297;362;0.0474;175;0.0229;7634
SAN FELIPE;27191;0.9349;1217;0.0418;676;0.0232;29084
SANTA MARIA;6562;0.957;185;0.027;110;0.016;6857
SANTO DOMINGO;5842;0.9478;164;0.0266;158;0.0256;6164
VALPARAISO;135852;0.8925;12319;0.0809;4042;0.0266;152213
VILLA ALEMANA;33797;0.867;3906;0.1002;1279;0.0328;38982
VINA DEL MAR;137984;0.9084;9334;0.0614;4584;0.0302;151902
ZAPALLAR;3432;0.9475;125;0.0345;65;0.0179;3622
CHEPICA;7205;0.9512;198;0.0261;172;0.0227;7575
CHIMBARONGO;15180;0.9231;878;0.0534;387;0.0235;16445
CODEGUA;5358;0.93;239;0.0415;164;0.0285;5761
COINCO;3953;0.9588;106;0.0257;64;0.0155;4123
COLTAUCO;7388;0.9463;254;0.0325;165;0.0211;7807
DONIHUE;9063;0.9413;355;0.0369;210;0.0218;9628
GRANEROS;13398;0.9368;455;0.0318;449;0.0314;14302
LA ESTRELLA;2627;0.9777;44;0.0164;16;0.006;2687
LAS CABRAS;9985;0.9435;318;0.03;280;0.0265;10583
LITUECHE;3014;0.9642;70;0.0224;42;0.0134;3126
LOLOL;3586;0.9447;124;0.0327;86;0.0227;3796
MACHALI;12829;0.9182;824;0.059;319;0.0228;13972
MALLOA;7117;0.9629;159;0.0215;115;0.0156;7391
MARCHIGUE;3810;0.9643;73;0.0185;68;0.0172;3951
MOSTAZAL;9910;0.9369;402;0.038;265;0.0251;10577
NANCAGUA;7967;0.9567;201;0.0241;160;0.0192;8328
NAVIDAD;3811;0.9563;115;0.0289;59;0.0148;3985
OLIVAR;6372;0.9518;240;0.0358;83;0.0124;6695
PALMILLA;5895;0.9685;91;0.0149;101;0.0166;6087
PAREDONES;3956;0.9579;95;0.023;79;0.0191;4130
PERALILLO;5548;0.9599;124;0.0215;108;0.0187;5780
PEUMO;7430;0.9674;139;0.0181;111;0.0145;7680
PICHIDEGUA;9175;0.9509;279;0.0289;195;0.0202;9649
PICHILEMU;6370;0.9618;185;0.0279;68;0.0103;6623
PLACILLA;4468;0.9537;127;0.0271;90;0.0192;4685
PUMANQUE;2068;0.9664;39;0.0182;33;0.0154;2140
QUINTA DE TILCOCO;6896;0.9643;164;0.0229;91;0.0127;7151
RANCAGUA;87543;0.8872;8089;0.082;3044;0.0308;98676
RENGO;22790;0.921;1247;0.0504;707;0.0286;24744
REQUINOA;10447;0.9438;383;0.0346;239;0.0216;11069
SAN FERNANDO;29925;0.9289;1537;0.0477;752;0.0233;32214
SAN VICENTE;20131;0.9441;761;0.0357;432;0.0203;21324
SANTA CRUZ;15538;0.9457;554;0.0337;339;0.0206;16431
CAUQUENES;22247;0.956;698;0.03;327;0.0141;23272
CHANCO;6211;0.9735;116;0.0182;53;0.0083;6380
COLBUN;8977;0.9594;257;0.0275;123;0.0131;9357
CONSTITUCION;20046;0.9579;616;0.0294;266;0.0127;20928
CUREPTO;6262;0.9544;158;0.0241;141;0.0215;6561
CURICO;51153;0.9261;2855;0.0517;1227;0.0222;55235
EMPEDRADO;2327;0.9757;28;0.0117;30;0.0126;2385
HUALANE;5675;0.9538;177;0.0297;98;0.0165;5950
LICANTEN;4043;0.9633;94;0.0224;60;0.0143;4197
LINARES;38374;0.9381;1697;0.0415;835;0.0204;40906
LONGAVI;13859;0.9658;308;0.0215;183;0.0128;14350
MAULE;8021;0.9462;289;0.0341;167;0.0197;8477
MOLINA;20112;0.9409;811;0.0379;453;0.0212;21376
PARRAL;20024;0.9459;782;0.0369;363;0.0171;21169
PELARCO;4652;0.9588;133;0.0274;67;0.0138;4852
PELLUHUE;3932;0.9721;85;0.021;28;0.0069;4045
PENCAHUE;5815;0.9499;217;0.0354;90;0.0147;6122
RAUCO;5451;0.953;186;0.0325;83;0.0145;5720
RETIRO;8857;0.9615;228;0.0248;127;0.0138;9212
RIO CLARO;5587;0.9425;200;0.0337;141;0.0238;5928
ROMERAL;6654;0.9396;282;0.0398;146;0.0206;7082
SAGRADA FAMILIA;8677;0.9503;292;0.032;162;0.0177;9131
SAN CLEMENTE;18105;0.951;647;0.034;285;0.015;19037
SAN JAVIER;20608;0.945;766;0.0351;433;0.0199;21807
SAN RAFAEL;4278;0.9517;140;0.0311;77;0.0171;4495
TALCA;79059;0.9062;5858;0.0671;2323;0.0266;87240
TENO;11501;0.9174;672;0.0536;363;0.029;12536
VICHUQUEN;3045;0.9569;87;0.0273;50;0.0157;3182
VILLA ALEGRE;7634;0.97;164;0.0208;72;0.0091;7870
YERBAS BUENAS;7257;0.9594;224;0.0296;83;0.011;7564
ANTUCO;2347;0.9295;116;0.0459;62;0.0246;2525
ARAUCO;14630;0.9562;375;0.0245;295;0.0193;15300
BULNES;11462;0.9584;319;0.0267;178;0.0149;11959
