Comuna;Validos_2000;Validosp_2000;Nulos_2000;Nulosp_2000;Blancos_2000;Blancosp_2000;Votacion_2000
CABRERO;12292;0.9468;428;0.033;263;0.0203;12983
CANETE;13065;0.9419;504;0.0363;302;0.0218;13871
CHIGUAYANTE;26682;0.9152;1783;0.0612;688;0.0236;29153
CHILLAN;68757;0.909;4919;0.065;1966;0.026;75642
CHILLAN VIEJO;7773;0.9436;338;0.041;127;0.0154;8238
COBQUECURA;3234;0.9747;48;0.0145;36;0.0108;3318
COELEMU;9179;0.9557;285;0.0297;140;0.0146;9604
COIHUECO;10906;0.9513;369;0.0322;189;0.0165;11464
CONCEPCION;105550;0.9272;6244;0.0549;2041;0.0179;113835
CONTULMO;3105;0.9507;101;0.0309;60;0.0184;3266
CORONEL;40150;0.9238;2361;0.0543;949;0.0218;43460
CURANILAHUE;15397;0.9415;570;0.0349;386;0.0236;16353
EL CARMEN;7281;0.9676;161;0.0214;83;0.011;7525
FLORIDA;6400;0.9144;376;0.0537;223;0.0319;6999
HUALQUI;9299;0.9206;518;0.0513;284;0.0281;10101
LAJA;11627;0.932;561;0.045;287;0.023;12475
LEBU;11039;0.9501;364;0.0313;216;0.0186;11619
LOS ALAMOS;8311;0.9655;171;0.0199;126;0.0146;8608
LOS ANGELES;66862;0.8959;5229;0.0701;2543;0.0341;74634
LOTA;26388;0.9158;1774;0.0616;651;0.0226;28813
MULCHEN;14177;0.9268;698;0.0456;422;0.0276;15297
NACIMIENTO;12637;0.9498;440;0.0331;228;0.0171;13305
NEGRETE;4440;0.9615;104;0.0225;74;0.016;4618
NINHUE;3464;0.9628;93;0.0258;41;0.0114;3598
NIQUEN;5799;0.9536;186;0.0306;96;0.0158;6081
PEMUCO;4645;0.9695;87;0.0182;59;0.0123;4791
PENCO;22101;0.9278;1287;0.054;434;0.0182;23822
PINTO;6458;0.9596;187;0.0278;85;0.0126;6730
PORTEZUELO;3604;0.9665;96;0.0257;29;0.0078;3729
QUILACO;2409;0.9702;44;0.0177;30;0.0121;2483
QUILLECO;5378;0.9497;188;0.0332;97;0.0171;5663
QUILLON;8278;0.9434;346;0.0394;151;0.0172;8775
QUIRIHUE;6566;0.9706;148;0.0219;51;0.0075;6765
RANQUIL;3310;0.9611;85;0.0247;49;0.0142;3444
SAN CARLOS;25257;0.9351;1220;0.0452;534;0.0198;27011
SAN FABIAN;2402;0.9627;61;0.0244;32;0.0128;2495
SAN IGNACIO;7629;0.9558;239;0.0299;114;0.0143;7982
SAN NICOLAS;5719;0.9564;197;0.0329;64;0.0107;5980
SAN PEDRO DE LA PAZ;28186;0.9212;1644;0.0537;767;0.0251;30597
SAN ROSENDO;2733;0.9771;42;0.015;22;0.0079;2797
SANTA BARBARA;8513;0.9392;329;0.0363;222;0.0245;9064
SANTA JUANA;6907;0.9291;316;0.0425;211;0.0284;7434
TALCAHUANO;106587;0.8766;11604;0.0954;3399;0.028;121590
TIRUA;4254;0.957;112;0.0252;79;0.0178;4445
TOME;27060;0.9448;1112;0.0388;469;0.0164;28641
TREGUACO;2960;0.9702;65;0.0213;26;0.0085;3051
TUCAPEL;6793;0.9651;136;0.0193;110;0.0156;7039
YUMBEL;11613;0.9376;480;0.0388;293;0.0237;12386
YUNGAY;8453;0.9581;237;0.0269;133;0.0151;8823
ANGOL;22305;0.9405;987;0.0416;424;0.0179;23716
CARAHUE;12201;0.9545;384;0.03;197;0.0154;12782
COLLIPULLI;11110;0.9484;327;0.0279;277;0.0236;11714
CUNCO;8949;0.9676;168;0.0182;132;0.0143;9249
CURACAUTIN;9319;0.9673;194;0.0201;121;0.0126;9634
CURARREHUE;3408;0.9707;66;0.0188;37;0.0105;3511
ERCILLA;3808;0.9494;106;0.0264;97;0.0242;4011
FREIRE;11261;0.9236;608;0.0499;324;0.0266;12193
GALVARINO;6068;0.9565;201;0.0317;75;0.0118;6344
GORBEA;8376;0.9573;251;0.0287;123;0.0141;8750
LAUTARO;14723;0.9604;412;0.0269;195;0.0127;15330
LONCOCHE;11911;0.9623;275;0.0222;191;0.0154;12377
LONQUIMAY;4584;0.9536;117;0.0243;106;0.0221;4807
LOS SAUCES;4444;0.9709;89;0.0194;44;0.0096;4577
LUMACO;5152;0.9637;129;0.0241;65;0.0122;5346
MELIPEUCO;2994;0.9602;68;0.0218;56;0.018;3118
NUEVA IMPERIAL;18169;0.9256;1055;0.0537;406;0.0207;19630
PADRE LAS CASAS;21186;0.9225;1087;0.0473;693;0.0302;22966
PERQUENCO;3593;0.962;97;0.026;45;0.012;3735
PITRUFQUEN;10822;0.9586;310;0.0275;157;0.0139;11289
PUCON;7793;0.955;212;0.026;155;0.019;8160
PUREN;6972;0.9663;159;0.022;84;0.0116;7215
RENAICO;5031;0.9557;152;0.0289;81;0.0154;5264
SAAVEDRA;5796;0.9371;233;0.0377;156;0.0252;6185
TEMUCO;93325;0.9354;4493;0.045;1953;0.0196;99771
TEODORO SCHMIDT;7463;0.941;300;0.0378;168;0.0212;7931
TOLTEN;5517;0.9667;87;0.0152;103;0.018;5707
TRAIGUEN;10770;0.961;298;0.0266;139;0.0124;11207
VICTORIA;16876;0.9427;685;0.0383;341;0.019;17902
VILCUN;9479;0.9528;288;0.0289;182;0.0183;9949
VILLARRICA;20070;0.9504;660;0.0313;387;0.0183;21117
ANCUD;17529;0.928;649;0.0344;710;0.0376;18888
CALBUCO;12000;0.908;697;0.0527;519;0.0393;13216
CASTRO;15176;0.9459;513;0.032;355;0.0221;16044
CHAITEN;3159;0.9374;113;0.0335;98;0.0291;3370
CHONCHI;5276;0.9565;128;0.0232;112;0.0203;5516
COCHAMO;1997;0.9314;61;0.0285;86;0.0401;2144
CORRAL;2845;0.9608;66;0.0223;50;0.0169;2961
CURACO DE VELEZ;1802;0.9699;33;0.0178;23;0.0124;1858
DALCAHUE;4219;0.9447;143;0.032;104;0.0233;4466
FRESIA;6980;0.9564;138;0.0189;180;0.0247;7298
FRUTILLAR;6625;0.9268;297;0.0416;226;0.0316;7148
FUTALEUFU;1191;0.9746;19;0.0155;12;0.0098;1222
FUTRONO;6510;0.9547;185;0.0271;124;0.0182;6819
HUALAIHUE;3593;0.9443;124;0.0326;88;0.0231;3805
LA UNION;19080;0.9315;1038;0.0507;366;0.0179;20484
LAGO RANCO;4765;0.9417;187;0.037;108;0.0213;5060
LANCO;7393;0.9505;276;0.0355;109;0.014;7778
LLANQUIHUE;7350;0.9433;255;0.0327;187;0.024;7792
LOS LAGOS;8964;0.9418;362;0.038;192;0.0202;9518
LOS MUERMOS;8044;0.9485;180;0.0212;257;0.0303;8481
MAFIL;3654;0.942;160;0.0412;65;0.0168;3879
MARIQUINA;8278;0.9524;246;0.0283;168;0.0193;8692
MAULLIN;7474;0.9427;308;0.0388;146;0.0184;7928
OSORNO;64771;0.8916;5541;0.0763;2336;0.0322;72648
PAILLACO;9974;0.9571;291;0.0279;156;0.015;10421
PALENA;885;0.9516;22;0.0237;23;0.0247;930
PANGUIPULLI;14533;0.9389;607;0.0392;338;0.0218;15478
PUERTO MONTT;59068;0.9047;4190;0.0642;2030;0.0311;65288
PUERTO OCTAY;4791;0.9203;284;0.0546;131;0.0252;5206
PUERTO VARAS;13639;0.9362;510;0.035;419;0.0288;14568
PUQUELDON;2149;0.9505;52;0.023;60;0.0265;2261
PURRANQUE;10689;0.9469;402;0.0356;197;0.0175;11288
PUYEHUE;6348;0.956;169;0.0255;123;0.0185;6640
QUEILEN;2561;0.9517;96;0.0357;34;0.0126;2691
QUELLON;7463;0.9574;176;0.0226;156;0.02;7795
QUEMCHI;3965;0.9284;173;0.0405;133;0.0311;4271
QUINCHAO;3535;0.916;262;0.0679;62;0.0161;3859
RIO BUENO;16030;0.9376;772;0.0452;294;0.0172;17096
RIO NEGRO;7644;0.9361;341;0.0418;181;0.0222;8166
SAN JUAN DE LA COSTA;4080;0.9248;227;0.0515;105;0.0238;4412
SAN PABLO;5957;0.9465;204;0.0324;133;0.0211;6294
VALDIVIA;57190;0.9155;3683;0.059;1595;0.0255;62468
AYSEN;8910;0.9493;274;0.0292;202;0.0215;9386
CHILE CHICO;2512;0.9718;37;0.0143;36;0.0139;2585
CISNES;1954;0.9678;29;0.0144;36;0.0178;2019
COCHRANE;1295;0.9614;29;0.0215;23;0.0171;1347
COYHAIQUE;20923;0.9309;946;0.0421;606;0.027;22475
GUAITECAS;746;0.9752;12;0.0157;7;0.0092;765
LAGO VERDE;561;0.9706;8;0.0138;9;0.0156;578
OHIGGINS;252;0.9692;7;0.0269;1;0.0038;260
RIO IBANEZ;1525;0.972;21;0.0134;23;0.0147;1569
TORTEL;219;0.9605;4;0.0175;5;0.0219;228
CABO DE HORNOS;897;0.9522;37;0.0393;8;0.0085;942
LAGUNA BLANCA;540;0.9854;6;0.0109;2;0.0036;548
NATALES;8786;0.9131;568;0.059;268;0.0279;9622
PORVENIR;2594;0.9488;99;0.0362;41;0.015;2734
PRIMAVERA;761;0.9845;7;0.0091;5;0.0065;773
PUNTA ARENAS;50089;0.8702;5699;0.099;1770;0.0308;57558
RIO VERDE;376;0.9616;7;0.0179;8;0.0205;391
SAN GREGORIO;542;0.9731;9;0.0162;6;0.0108;557
TIMAUKEL;380;0.9896;2;0.0052;2;0.0052;384
TORRES DEL PAINE;571;0.9879;3;0.0052;4;0.0069;578
ALHUE;2412;0.9667;44;0.0176;39;0.0156;2495
BUIN;27842;0.9297;1158;0.0387;948;0.0317;29948
CALERA DE TANGO;8274;0.9544;225;0.026;170;0.0196;8669
CERRILLOS;36586;0.9082;2426;0.0602;1273;0.0316;40285
CERRO NAVIA;66242;0.9093;4565;0.0627;2046;0.0281;72853
COLINA;25476;0.9214;1426;0.0516;746;0.027;27648
CONCHALI;72045;0.8677;7695;0.0927;3292;0.0396;83032
CURACAVI;11003;0.945;439;0.0377;201;0.0173;11643
EL BOSQUE;70847;0.8762;6640;0.0821;3366;0.0416;80853
EL MONTE;12911;0.9247;696;0.0498;355;0.0254;13962
ESTACION CENTRAL;69180;0.8922;5903;0.0761;2459;0.0317;77542
HUECHURABA;27492;0.8901;2352;0.0762;1041;0.0337;30885
INDEPENDENCIA;39333;0.9096;2883;0.0667;1025;0.0237;43241
ISLA DE MAIPO;11433;0.9407;444;0.0365;277;0.0228;12154
LA CISTERNA;49178;0.8914;4186;0.0759;1807;0.0328;55171
LA FLORIDA;139535;0.9089;9815;0.0639;4163;0.0271;153513
LA GRANJA;52543;0.8818;4833;0.0811;2211;0.0371;59587
LA PINTANA;51108;0.8992;3970;0.0698;1762;0.031;56840
LA REINA;50408;0.9355;2115;0.0393;1359;0.0252;53882
LAMPA;13569;0.9326;622;0.0428;358;0.0246;14549
LAS CONDES;115771;0.9509;3794;0.0312;2184;0.0179;121749
LO BARNECHEA;24843;0.9327;1248;0.0469;546;0.0205;26637
LO ESPEJO;53509;0.87;5448;0.0886;2549;0.0414;61506
LO PRADO;54171;0.9123;3492;0.0588;1718;0.0289;59381
MACUL;57945;0.9126;3748;0.059;1799;0.0283;63492
MAIPU;107856;0.8998;8580;0.0716;3434;0.0286;119870
MARIA PINTO;4932;0.9659;89;0.0174;85;0.0166;5106
MELIPILLA;41688;0.8983;2959;0.0638;1759;0.0379;46406
NUNOA;99317;0.9305;4916;0.0461;2497;0.0234;106730
PADRE HURTADO;12487;0.9209;666;0.0491;406;0.0299;13559
PAINE;20160;0.9221;924;0.0423;779;0.0356;21863
PEDRO AGUIRRE CERDA;59529;0.8761;5741;0.0845;2674;0.0394;67944
PENAFLOR;28600;0.8972;2183;0.0685;1095;0.0343;31878
PENALOLEN;78361;0.8834;7176;0.0809;3162;0.0356;88699
PIRQUE;8119;0.9418;272;0.0316;230;0.0267;8621
PROVIDENCIA;73425;0.9378;3097;0.0396;1776;0.0227;78298
PUDAHUEL;57650;0.8866;5069;0.078;2302;0.0354;65021
PUENTE ALTO;105841;0.8984;8130;0.069;3835;0.0326;117806
QUILICURA;28134;0.932;1476;0.0489;576;0.0191;30186
QUINTA NORMAL;56195;0.886;5164;0.0814;2065;0.0326;63424
RECOLETA;76184;0.8908;6140;0.0718;3202;0.0374;85526
RENCA;56155;0.8947;4608;0.0734;2001;0.0319;62764
SAN BERNARDO;90050;0.8936;7312;0.0726;3414;0.0339;100776
SAN JOAQUIN;52767;0.905;3780;0.0648;1759;0.0302;58306
SAN JOSE DE MAIPO;7761;0.9343;336;0.0404;210;0.0253;8307
SAN MIGUEL;46267;0.8978;3672;0.0713;1594;0.0309;51533
SAN PEDRO;4217;0.9289;186;0.041;137;0.0302;4540
SAN RAMON;46775;0.8786;4390;0.0825;2076;0.039;53241
SANTIAGO;119838;0.9489;4470;0.0354;1983;0.0157;126291
TALAGANTE;24163;0.9117;1498;0.0565;842;0.0318;26503
TILTIL;6911;0.9352;334;0.0452;145;0.0196;7390
VITACURA;45033;0.9501;1378;0.0291;985;0.0208;47396
