Comuna;Mesas_Total_2013a;Inscritos_Total_2013a;Votacion_2013a;Participacion_2013a
MOSTAZAL;55;18575;10017;0.5393
NANCAGUA;42;14103;7443;0.5278
NAVIDAD;18;5408;3085;0.5705
OLIVAR;38;11138;6254;0.5615
PALMILLA;29;9798;5352;0.5462
PAREDONES;21;6095;3163;0.5189
PERALILLO;29;9423;5065;0.5375
PEUMO;36;12056;6717;0.5571
PICHIDEGUA;46;15453;8238;0.5331
PICHILEMU;38;12091;6413;0.5304
PLACILLA;24;7398;4177;0.5646
PUMANQUE;13;3571;1957;0.548
QUINTA DE TILCOCO;35;11515;6719;0.5835
RANCAGUA;537;181488;91181;0.5024
RENGO;134;44637;23629;0.5294
REQUINOA;61;20423;11098;0.5434
SAN FERNANDO;171;58113;30087;0.5177
SANTA CRUZ;86;29017;14461;0.4984
SAN VICENTE;109;36661;19317;0.5269
CAUQUENES;122;36651;19581;0.5343
CHANCO;30;9070;5532;0.6099
COLBUN;49;16082;8717;0.542
CONSTITUCION;117;37374;19282;0.5159
CUREPTO;35;10064;5469;0.5434
CURICO;311;106688;56473;0.5293
EMPEDRADO;14;4218;2411;0.5716
HUALANE;30;8887;5374;0.6047
LICANTEN;23;6583;3630;0.5514
LINARES;223;76230;39192;0.5141
LONGAVI;72;24710;13413;0.5428
MAULE;53;17351;9665;0.557
MOLINA;110;36432;20461;0.5616
PARRAL;109;35574;19551;0.5496
PELARCO;25;7730;4369;0.5652
PELLUHUE;21;6254;3886;0.6214
PENCAHUE;33;9611;5997;0.624
RAUCO;28;9136;5343;0.5848
RETIRO;46;15449;8488;0.5494
RIO CLARO;31;10458;5963;0.5702
ROMERAL;37;12588;7287;0.5789
SAGRADA FAMILIA;46;14809;8883;0.5998
SAN CLEMENTE;99;33723;18011;0.5341
SAN JAVIER;109;35863;18983;0.5293
SAN RAFAEL;23;7386;4462;0.6041
TALCA;488;167395;89097;0.5323
TENO;65;22440;11215;0.4998
VICHUQUEN;16;4722;2599;0.5504
VILLA ALEGRE;41;12548;7039;0.561
YERBAS BUENAS;43;13502;7700;0.5703
ALTO BIOBIO;15;4917;2078;0.4226
ANTUCO;14;4289;2206;0.5143
ARAUCO;110;28662;15540;0.5422
BULNES;65;19440;10584;0.5444
CABRERO;70;22668;12123;0.5348
CANETE;81;27507;13216;0.4805
CHIGUAYANTE;176;59968;32273;0.5382
CHILLAN;422;141754;73040;0.5153
CHILLAN VIEJO;54;18284;10770;0.589
COBQUECURA;19;5212;2918;0.5599
COELEMU;52;14672;8643;0.5891
COIHUECO;63;19868;10456;0.5263
CONCEPCION;626;198299;101947;0.5141
CONTULMO;20;5576;2988;0.5359
CORONEL;241;81725;42487;0.5199
CURANILAHUE;87;29387;14920;0.5077
EL CARMEN;38;11868;6204;0.5228
FLORIDA;32;10094;5776;0.5722
HUALPEN;243;74008;40602;0.5486
HUALQUI;56;18234;9892;0.5425
LAJA;64;20743;10474;0.5049
LEBU;65;21127;10553;0.4995
LOS ALAMOS;49;16291;8722;0.5354
LOS ANGELES;432;145351;69302;0.4768
LOTA;146;47832;25856;0.5406
MULCHEN;76;25356;13112;0.5171
NACIMIENTO;69;23351;11736;0.5026
NEGRETE;25;8226;4624;0.5621
NINHUE;20;5804;3379;0.5822
NIQUEN;33;9932;5154;0.5189
PEMUCO;25;7591;4099;0.54
PENCO;121;39950;23088;0.5779
PINTO;34;10539;5782;0.5486
PORTEZUELO;19;5578;3079;0.552
QUILACO;14;4147;2207;0.5322
QUILLECO;32;8979;4771;0.5314
QUILLON;46;14127;7550;0.5344
QUIRIHUE;34;10597;5955;0.562
RANQUIL;19;5506;3192;0.5797
SAN CARLOS;137;44690;22874;0.5118
SAN FABIAN;16;4524;2373;0.5245
SAN IGNACIO;47;13543;7266;0.5365
SAN NICOLAS;34;9578;5605;0.5852
SAN PEDRO DE LA PAZ;214;71547;38876;0.5434
SAN ROSENDO;14;4216;2359;0.5595
SANTA BARBARA;37;12495;6023;0.482
SANTA JUANA;36;11799;6204;0.5258
TALCAHUANO;417;131520;63978;0.4865
TIRUA;25;8285;4180;0.5045
TOME;151;47444;24921;0.5253
TREGUACO;19;5500;3394;0.6171
TUCAPEL;41;12021;6282;0.5226
YUMBEL;66;19213;10690;0.5564
YUNGAY;48;15134;7590;0.5015
ANGOL;135;44671;22689;0.5079
CARAHUE;75;23648;11721;0.4956
CHOLCHOL;28;9199;5326;0.579
COLLIPULLI;65;20876;10782;0.5165
CUNCO;60;18862;8330;0.4416
CURACAUTIN;60;20390;7899;0.3874
CURARREHUE;23;7616;3405;0.4471
ERCILLA;25;7685;3583;0.4662
FREIRE;73;21559;10549;0.4893
GALVARINO;35;11532;6014;0.5215
GORBEA;48;15154;7437;0.4908
LAUTARO;93;30981;15341;0.4952
LONCOCHE;69;21742;10237;0.4708
LONQUIMAY;36;11146;4487;0.4026
LOS SAUCES;25;7176;4170;0.5811
LUMACO;31;9002;4721;0.5244
MELIPEUCO;21;7073;2732;0.3863
NUEVA IMPERIAL;87;28972;15334;0.5293
PADRE LAS CASAS;151;51184;24133;0.4715
PERQUENCO;20;6276;3564;0.5679
PITRUFQUEN;66;21126;10198;0.4827
PUCON;67;22850;9451;0.4136
PUREN;38;11653;5939;0.5097
RENAICO;29;8791;4821;0.5484
SAAVEDRA;40;12616;5957;0.4722
TEMUCO;652;218196;103328;0.4736
TEODORO SCHMIDT;46;13464;7279;0.5406
TOLTEN;34;10131;4844;0.4781
TRAIGUEN;60;18218;9475;0.5201
VICTORIA;98;31449;14665;0.4663
VILCUN;68;21945;10763;0.4905
VILLARRICA;139;47295;20860;0.4411
CORRAL;17;5195;2746;0.5286
FUTRONO;42;13208;6295;0.4766
LAGO RANCO;31;8752;4481;0.512
LANCO;50;15157;7594;0.501
LA UNION;105;34242;17024;0.4972
LOS LAGOS;54;17679;8459;0.4785
MAFIL;21;6683;3453;0.5167
MARIQUINA;53;16842;8584;0.5097
PAILLACO;63;18354;9478;0.5164
PANGUIPULLI;104;32027;14126;0.4411
RIO BUENO;89;29158;14477;0.4965
VALDIVIA;377;126740;65012;0.513
ANCUD;110;36460;16218;0.4448
CALBUCO;92;29379;11880;0.4044
CASTRO;109;36758;16115;0.4384
CHAITEN;17;5190;1536;0.296
CHONCHI;35;11723;5680;0.4845
COCHAMO;14;4298;1604;0.3732
CURACO DE VELEZ;10;3335;1689;0.5064
DALCAHUE;32;10717;4678;0.4365
FRESIA;40;11693;6542;0.5595
FRUTILLAR;42;14068;7865;0.5591
FUTALEUFU;10;3441;1058;0.3075
HUALAIHUE;27;7898;3828;0.4847
LLANQUIHUE;43;14421;7973;0.5529
LOS MUERMOS;46;15075;7430;0.4929
MAULLIN;49;14771;6514;0.441
OSORNO;421;135263;66495;0.4916
PALENA;7;2180;833;0.3821
PUERTO MONTT;482;162408;72118;0.4441
PUERTO OCTAY;27;8508;4454;0.5235
PUERTO VARAS;105;34318;17488;0.5096
PUQUELDON;13;4202;1923;0.4576
PURRANQUE;62;19322;10256;0.5308
PUYEHUE;34;10696;6031;0.5639
QUEILEN;17;5636;2375;0.4214
QUELLON;59;20145;8142;0.4042
QUEMCHI;26;8381;3385;0.4039
QUINCHAO;28;8980;3170;0.353
RIO NEGRO;44;12835;7023;0.5472
SAN JUAN DE LA COSTA;27;7549;4139;0.5483
SAN PABLO;31;9468;5459;0.5766
AYSEN;70;20771;8959;0.4313
CHILE CHICO;20;6082;2086;0.343
CISNES;17;4066;1776;0.4368
COCHRANE;10;3083;1323;0.4291
COYHAIQUE;164;50426;20932;0.4151
GUAITECAS;5;1398;557;0.3984
LAGO VERDE;5;1029;441;0.4286
OHIGGINS;3;641;187;0.2917
RIO IBANEZ;12;2559;1260;0.4924
TORTEL;2;483;210;0.4348
ANTARTICA;1;357;46;0.1289
CABO DE HORNOS;6;1738;613;0.3527
LAGUNA BLANCA;4;995;393;0.395
NATALES;67;20932;8000;0.3822
PORVENIR;22;6351;2142;0.3373
PRIMAVERA;6;1306;318;0.2435
PUNTA ARENAS;353;117697;49865;0.4237
RIO VERDE;3;888;343;0.3863
SAN GREGORIO;5;1059;275;0.2597
TIMAUKEL;4;805;125;0.1553
TORRES DEL PAINE;6;1500;499;0.3327
