Comuna;Mesas_Total_2013a;Inscritos_Total_2013a;Votacion_2013a;Participacion_2013a
ARICA;518;161573;68055;0.4212
CAMARONES;13;3708;1009;0.2721
GENERAL LAGOS;9;2472;495;0.2002
PUTRE;23;6102;1629;0.267
ALTO HOSPICIO;125;41782;14979;0.3585
CAMINA;9;2754;832;0.3021
COLCHANE;8;2601;564;0.2168
HUARA;30;9135;1697;0.1858
IQUIQUE;447;150936;62012;0.4108
PICA;16;4567;2181;0.4776
POZO ALMONTE;35;10249;3852;0.3758
ANTOFAGASTA;722;245068;102596;0.4186
CALAMA;351;117744;51757;0.4396
MARIA ELENA;28;7013;2177;0.3104
MEJILLONES;29;8448;3774;0.4467
OLLAGUE;6;1598;242;0.1514
SAN PEDRO DE ATACAMA;16;5198;2520;0.4848
SIERRA GORDA;11;2832;667;0.2355
TALTAL;30;9634;4111;0.4267
TOCOPILLA;69;21466;8827;0.4112
ALTO DEL CARMEN;16;4791;2294;0.4788
CALDERA;40;12797;5944;0.4645
CHANARAL;37;11648;4980;0.4275
COPIAPO;325;111001;48649;0.4383
DIEGO DE ALMAGRO;47;14292;5327;0.3727
FREIRINA;16;5439;2735;0.5028
HUASCO;24;7614;3775;0.4958
TIERRA AMARILLA;33;10905;5558;0.5097
VALLENAR;130;43119;19900;0.4615
ANDACOLLO;33;10965;5728;0.5224
CANELA;28;8434;4509;0.5346
COMBARBALA;38;12103;6119;0.5056
COQUIMBO;422;142497;65726;0.4612
ILLAPEL;76;26107;12736;0.4878
LA HIGUERA;13;3997;2101;0.5256
LA SERENA;437;147768;72513;0.4907
LOS VILOS;53;16649;8155;0.4898
MONTE PATRIA;86;25894;12700;0.4905
OVALLE;251;83802;39070;0.4662
PAIHUANO;14;4525;2350;0.5193
PUNITAQUI;30;9696;5035;0.5193
RIO HURTADO;15;4660;2379;0.5105
SALAMANCA;65;21022;10268;0.4884
VICUNA;61;20686;10375;0.5015
ALGARROBO;32;10793;5962;0.5524
CABILDO;51;17255;8905;0.5161
CALERA;125;42762;21811;0.5101
CALLE LARGA;30;10115;5814;0.5748
CARTAGENA;53;16292;8822;0.5415
CASABLANCA;58;19969;10792;0.5404
CATEMU;33;11319;6027;0.5325
CONCON;92;31614;18228;0.5766
EL QUISCO;35;10476;5868;0.5601
EL TABO;30;8442;4959;0.5874
HIJUELAS;42;14181;7265;0.5123
ISLA DE PASCUA;15;4809;1900;0.3951
JUAN FERNANDEZ;3;804;277;0.3445
LA CRUZ;36;12350;6930;0.5611
LA LIGUA;82;27982;14973;0.5351
LIMACHE;102;34923;16829;0.4819
LLAY LLAY;57;19598;10538;0.5377
LOS ANDES;157;52625;26314;0.5
NOGALES;65;18507;10116;0.5466
OLMUE;41;13993;7066;0.505
PANQUEHUE;18;5961;3366;0.5647
PAPUDO;16;4893;2793;0.5708
PETORCA;30;8969;4724;0.5267
PUCHUNCAVI;38;12751;6678;0.5237
PUTAENDO;38;12751;6727;0.5276
QUILLOTA;205;69778;33392;0.4785
QUILPUE;356;120653;59200;0.4907
QUINTERO;63;20977;10549;0.5029
RINCONADA;24;7897;4506;0.5706
SAN ANTONIO;222;75069;38555;0.5136
SAN ESTEBAN;39;13366;7662;0.5732
SAN FELIPE;165;56340;28035;0.4976
SANTA MARIA;33;11203;6368;0.5684
SANTO DOMINGO;35;10198;6763;0.6632
VALPARAISO;891;282643;121642;0.4304
VILLA ALEMANA;247;84356;41559;0.4927
VINA DEL MAR;884;289559;137296;0.4742
ZAPALLAR;24;6878;4020;0.5845
ALHUE;20;6282;2381;0.379
BUIN;177;60740;31122;0.5124
CALERA DE TANGO;56;19080;11128;0.5832
CERRILLOS;201;66257;32231;0.4865
CERRO NAVIA;340;115911;54820;0.4729
COLINA;200;68623;32527;0.474
CONCHALI;386;119273;58739;0.4925
CURACAVI;66;22516;12313;0.5469
EL BOSQUE;412;135752;64896;0.478
EL MONTE;72;24506;13207;0.5389
ESTACION CENTRAL;396;127374;58370;0.4583
HUECHURABA;182;61822;32810;0.5307
INDEPENDENCIA;235;78655;35391;0.45
ISLA DE MAIPO;69;23663;12287;0.5192
LA CISTERNA;257;82724;41367;0.5001
LA FLORIDA;850;289671;152709;0.5272
LA GRANJA;304;103031;46991;0.4561
LAMPA;122;41826;20183;0.4825
LA PINTANA;378;128437;51543;0.4013
LA REINA;281;87191;52274;0.5995
LAS CONDES;709;237232;142938;0.6025
LO BARNECHEA;187;64228;38793;0.604
LO ESPEJO;300;92943;43092;0.4636
LO PRADO;261;88996;45141;0.5072
MACUL;343;98121;53156;0.5417
MAIPU;1006;343277;173503;0.5054
MARIA PINTO;28;9474;5103;0.5386
MELIPILLA;253;86963;43103;0.4956
NUNOA;581;178220;109520;0.6145
PADRE HURTADO;101;34686;18134;0.5228
PAINE;141;45088;23308;0.5169
PEDRO AGUIRRE CERDA;331;96086;50265;0.5231
PENAFLOR;184;63154;32351;0.5123
PENALOLEN;516;175122;89783;0.5127
PIRQUE;56;19107;10726;0.5614
PROVIDENCIA;478;162042;84518;0.5216
PUDAHUEL;442;150449;71330;0.4741
PUENTE ALTO;987;338523;146063;0.4315
QUILICURA;331;113456;53929;0.4753
QUINTA NORMAL;294;99838;47650;0.4773
RECOLETA;438;136299;64543;0.4735
RENCA;321;110107;50400;0.4577
SAN BERNARDO;610;209084;92388;0.4419
SAN JOAQUIN;262;83423;41374;0.496
SAN JOSE DE MAIPO;42;14291;7809;0.5464
SAN MIGUEL;285;95911;47373;0.4939
SAN PEDRO;23;7327;3893;0.5313
SAN RAMON;243;82520;41218;0.4995
SANTIAGO;871;283650;121344;0.4278
TALAGANTE;150;51315;27848;0.5427
TILTIL;38;12787;6454;0.5047
VITACURA;259;79859;54034;0.6766
CHEPICA;39;12993;6446;0.4961
CHIMBARONGO;81;27722;14312;0.5163
CODEGUA;30;10153;5492;0.5409
COINCO;20;6495;3393;0.5224
COLTAUCO;42;14210;7079;0.4982
DONIHUE;55;16777;8895;0.5302
GRANEROS;72;24474;13370;0.5463
LA ESTRELLA;11;3183;1781;0.5595
LAS CABRAS;59;18142;9336;0.5146
LITUECHE;18;5485;3294;0.6005
LOLOL;21;6464;3713;0.5744
MACHALI;87;28560;15071;0.5277
MALLOA;39;11535;6508;0.5642
MARCHIGUE;21;6438;3442;0.5346
