Comuna;Inscritos_2008
TOME;33602
TREGUACO;4514
TUCAPEL;8456
YUMBEL;13677
YUNGAY;10071
ANGOL;28768
CARAHUE;15315
COLLIPULLI;13790
CUNCO;11273
CURACAUTIN;11517
CURARREHUE;4911
CHOLCHOL;6555
ERCILLA;5441
FREIRE;14123
GALVARINO;7890
GORBEA;9994
LAUTARO;18961
LONCOCHE;14068
LONQUIMAY;6308
LOS SAUCES;5558
LUMACO;6388
MELIPEUCO;4102
NUEVA IMPERIAL;18498
PADRE LAS CASAS;27341
PERQUENCO;4588
PITRUFQUEN;13458
PUCON;11216
PUREN;8329
RENAICO;6228
SAAVEDRA;8240
TEMUCO;116892
TEODORO SCHMIDT;9534
TOLTEN;6574
TRAIGUEN;13208
VICTORIA;21150
VILCUN;13430
VILLARRICA;26756
CORRAL;4062
FUTRONO;8191
LAGO RANCO;5920
LANCO;9571
LA UNION;22980
LOS LAGOS;10996
MAFIL;4756
MARIQUINA;10928
PAILLACO;12236
PANGUIPULLI;18093
RIO BUENO;19179
VALDIVIA;75486
ANCUD;22054
CALBUCO;15961
CASTRO;19341
COCHAMO;2639
CURACO DE VELEZ;2458
CHAITEN;4638
CHONCHI;6704
DALCAHUE;5507
FRESIA;8537
FRUTILLAR;8664
FUTALEUFU;1696
HUALAIHUE;5566
LOS MUERMOS;9737
LLANQUIHUE;9186
MAULLIN;9146
OSORNO;83008
PALENA;1261
PUERTO MONTT;80548
PUERTO OCTAY;5648
PUERTO VARAS;19506
PUQUELDON;2894
PURRANQUE;13013
PUYEHUE;7679
QUEILEN;3406
QUELLON;10328
QUEMCHI;5082
QUINCHAO;5030
RIO NEGRO;8803
SAN JUAN DE LA COSTA;5049
SAN PABLO;7117
AYSEN;12734
CISNES;2965
COCHRANE;2091
COYHAIQUE;30722
CHILE CHICO;3678
GUAITECAS;1134
LAGO VERDE;807
OHIGGINS;576
RIO IBANEZ;2160
TORTEL;446
ANTARTICA;259
CABO DE HORNOS;1549
LAGUNA BLANCA;859
NATALES;12982
PORVENIR;5024
PRIMAVERA;1345
PUNTA ARENAS;73383
RIO VERDE;640
SAN GREGORIO;1193
TIMAUKEL;690
TORRES DEL PAINE;1488
