Comuna;Inscritos_2008
ARICA;97150
CAMARONES;4198
GENERAL LAGOS;2246
PUTRE;6839
ALTO HOSPICIO;17913
CAMINA;2851
COLCHANE;2265
HUARA;4118
IQUIQUE;85672
PICA;3724
POZO ALMONTE;6956
ANTOFAGASTA;129185
CALAMA;70120
MARIA ELENA;5183
MEJILLONES;6228
OLLAGUE;1590
SAN PEDRO DE ATACAMA;3411
SIERRA GORDA;5072
TALTAL;6377
TOCOPILLA;13754
ALTO DEL CARMEN;3789
CALDERA;8347
COPIAPO;59664
CHANARAL;7556
DIEGO DE ALMAGRO;10297
FREIRINA;3837
HUASCO;5309
TIERRA AMARILLA;7729
VALLENAR;27921
ANDACOLLO;7475
CANELA;6242
COMBARBALA;8407
COQUIMBO;74605
ILLAPEL;16605
LA HIGUERA;2910
LA SERENA;81463
LOS VILOS;10495
MONTE PATRIA;16323
OVALLE;47983
PAIHUANO;3080
PUNITAQUI;6651
RIO HURTADO;3310
SALAMANCA;13246
VICUNA;12660
ALGARROBO;7082
CABILDO;10905
CALERA;26746
CALLE LARGA;6504
CARTAGENA;11815
CASABLANCA;12238
CATEMU;7450
CONCON;18830
EL QUISCO;7791
EL TABO;6786
HIJUELAS;9097
ISLA DE PASCUA;2503
JUAN FERNANDEZ;666
LA CRUZ;7641
LA LIGUA;17588
LIMACHE;21428
LOS ANDES;32279
LLAY LLAY;12328
NOGALES;12060
OLMUE;9185
PANQUEHUE;4033
PAPUDO;3770
PETORCA;6157
PUCHUNCAVI;8754
PUTAENDO;8557
QUILPUE;69854
QUILLOTA;42102
QUINTERO;13873
RINCONADA;5265
SAN ANTONIO;47077
SAN ESTEBAN;8774
SAN FELIPE;31827
SANTA MARIA;7712
SANTO DOMINGO;8198
VALPARAISO;168473
VILLA ALEMANA;47313
VINA DEL MAR;175780
ZAPALLAR;5279
ALHUE;3039
BUIN;34542
CALERA DE TANGO;10999
CERRILLOS;41590
CERRO NAVIA;69804
COLINA;34162
CONCHALI;79312
CURACAVI;13286
EL BOSQUE;82785
EL MONTE;15113
ESTACION CENTRAL;77168
HUECHURABA;33637
INDEPENDENCIA;47621
ISLA DE MAIPO;13908
LAMPA;19796
LA CISTERNA;54667
LA FLORIDA;163915
LA GRANJA;60155
LA PINTANA;59887
LA REINA;60310
LAS CONDES;144599
LO BARNECHEA;34281
LO ESPEJO;58661
LO PRADO;57272
MACUL;65987
MAIPU;165402
MARIA PINTO;5804
MELIPILLA;49988
NUNOA;119827
PADRE HURTADO;17500
PAINE;26135
PEDRO AGUIRRE CERDA;65033
PENAFLOR;36571
PENALOLEN;97806
PIRQUE;11174
PROVIDENCIA;91188
PUDAHUEL;73083
PUENTE ALTO;140620
QUILICURA;51910
QUINTA NORMAL;60466
RECOLETA;84841
RENCA;62246
SANTIAGO;137163
SAN BERNARDO;110073
SAN JOAQUIN;55814
SAN JOSE DE MAIPO;9771
SAN MIGUEL;55204
SAN PEDRO;5236
SAN RAMON;53427
TALAGANTE;29120
TILTIL;8205
VITACURA;56069
CODEGUA;6692
COINCO;4491
COLTAUCO;8706
CHEPICA;8776
CHIMBARONGO;18039
DONIHUE;11016
GRANEROS;15399
LA ESTRELLA;2827
LAS CABRAS;12031
LITUECHE;4312
LOLOL;4725
MACHALI;16185
MALLOA;8370
MARCHIGUE;4998
MOSTAZAL;11457
NANCAGUA;9579
NAVIDAD;4351
OLIVAR;7715
PALMILLA;6607
PAREDONES;4760
PERALILLO;6500
PEUMO;8094
PICHIDEGUA;10398
PICHILEMU;8647
PLACILLA;5719
PUMANQUE;2957
QUINTA DE TILCOCO;8263
RANCAGUA;105895
RENGO;26974
REQUINOA;12297
SAN FERNANDO;35558
SAN VICENTE;23457
SANTA CRUZ;18727
CAUQUENES;26295
COLBUN;11193
CONSTITUCION;23955
CUREPTO;7431
CURICO;60851
CHANCO;7444
EMPEDRADO;3318
HUALANE;6572
LICANTEN;5098
LINARES;47784
LONGAVI;16771
MAULE;10407
MOLINA;23975
PARRAL;24162
PELARCO;5428
PELLUHUE;5353
PENCAHUE;7460
RAUCO;6422
RETIRO;10656
RIO CLARO;7093
ROMERAL;8258
SAGRADA FAMILIA;10315
SAN CLEMENTE;21386
SAN JAVIER;24659
SAN RAFAEL;5497
TALCA;98251
TENO;13776
VICHUQUEN;4078
VILLA ALEGRE;9136
YERBAS BUENAS;9000
ALTO BIOBIO;2716
ANTUCO;3078
ARAUCO;18029
BULNES;13725
CABRERO;14900
CANETE;17299
COBQUECURA;4341
COELEMU;10766
COIHUECO;13343
CONCEPCION;128188
CONTULMO;4133
CORONEL;49904
CURANILAHUE;19405
CHIGUAYANTE;33937
CHILLAN;84756
CHILLAN VIEJO;11623
EL CARMEN;8501
FLORIDA;7660
HUALPEN;51727
HUALQUI;12345
LAJA;14382
LEBU;14070
LOS ALAMOS;11070
LOS ANGELES;84012
LOTA;33059
MULCHEN;16897
NACIMIENTO;15315
NEGRETE;5793
NINHUE;4748
NIQUEN;7506
PEMUCO;5721
PENCO;27300
PINTO;7931
PORTEZUELO;4454
QUILACO;3285
QUILLECO;6725
QUILLON;10247
QUIRIHUE;7884
RANQUIL;4358
SAN CARLOS;29613
SAN FABIAN;3743
SAN IGNACIO;9768
SAN NICOLAS;7664
SAN PEDRO DE LA PAZ;38047
SAN ROSENDO;3504
SANTA BARBARA;7877
SANTA JUANA;8251
TALCAHUANO;83962
TIRUA;5456
