COD;MAS18_2004;MAS18_2001
1101;123760;126907
1107;37807;NA
1401;9148;4521
1402;719;880
1403;1167;889
1404;1861;1424
1405;8285;2032
2101;224736;175668
2102;6351;5480
2103;2404;1117
2104;7551;8440
2201;94738;92779
2202;199;328
2203;4926;2180
2301;15616;20013
2302;4052;8174
3101;94966;83853
3102;9525;12218
3103;9002;10310
3201;8839;9722
3202;10841;19432
3301;32136;34555
3302;3432;3111
3303;3808;3429
3304;5450;5539
4101;123300;95832
4102;124028;99637
4103;6659;9412
4104;2674;2093
4105;2982;2275
4106;16888;15314
4201;21296;20921
4202;6389;6568
4203;12435;12593
4204;17922;16928
4301;70090;62794
4302;9438;9203
4303;20905;20103
4304;6733;6238
4305;3286;3229
5101;201572;202099
5102;16821;12793
5103;28014;17073
5104;538;344
5105;10042;9231
5107;15857;14440
5109;213606;222081
5201;2782;2464
5301;45592;41138
5302;7415;7406
5303;5010;4678
5304;10939;9585
5401;23866;22568
5402;13291;13623
5403;3414;3079
5404;6612;6652
5405;4346;3782
5501;57227;50505
5502;35900;33797
5503;11562;10768
5504;9767;8095
5506;15876;14189
5601;64508;59460
5602;7105;5261
5603;13794;9658
5604;8222;5679
5605;6215;4365
5606;5645;5435
5701;47514;43829
5702;8723;8097
5703;15538;14786
5704;4684;4619
5705;10848;9445
5706;9289;9190
5801;100990;85771
5802;29087;27006
5803;10392;9232
5804;76251;60615
6101;156818;150915
6102;7892;7329
6103;4655;4185
6104;11487;11412
6105;12423;11220
6106;18855;16958
6107;15004;13678
6108;20712;19604
6109;9128;8811
6110;16062;13916
6111;8633;10153
6112;10003;9095
6113;12892;12079
6114;8138;8368
6115;36846;35425
6116;15838;16291
6117;29697;26178
6201;9373;8485
6202;3305;2124
6203;3895;3888
6204;5116;4690
6205;4080;3623
6206;4861;4460
6301;46127;42631
6302;9852;9775
6303;22830;22725
6304;4573;3722
6305;11161;10632
6306;8059;7854
6307;7127;6644
6308;5756;5571
6309;2413;2501
6310;23730;20943
7101;150932;129996
7102;32342;30848
7103;7566;8292
7104;2767;3020
7105;12448;10055
7106;5015;5017
7107;6137;5670
7108;8930;9020
7109;25806;24731
7110;5286;5416
7201;29242;28172
7202;6569;6886
7203;4928;3717
7301;88611;80245
7302;7064;7316
7303;5045;5043
7304;28348;25925
7305;6294;5736
7306;9402;8112
7307;12669;11119
7308;18267;18640
7309;3477;3897
7401;59496;57299
7402;12298;11256
7403;19653;19983
7404;26157;26794
7405;12479;13092
7406;26972;25488
7407;10419;10044
7408;11348;10566
8101;160988;153208
8102;68721;62337
8103;64741;44473
8104;7116;6711
8105;13636;11203
8106;33753;33952
8107;34180;31644
8108;58850;65647
8109;8953;7906
8110;120512;189847
8111;37730;34134
8112;63849;NA
8201;16853;17085
8202;25100;22097
8203;21216;21291
8204;3751;4072
8205;21021;25631
8206;12658;12254
8207;6371;6216
8301;120543;106699
8302;2613;2147
8303;18201;16217
8304;14773;17192
8305;19260;20115
8306;17342;18935
8307;5795;6263
8308;2755;2847
8309;7083;6611
8310;2612;2827
8311;9347;12320
8312;9071;9035
8313;14690;13327
8314;6249;NA
9101;186585;166426
9102;17123;17055
9103;12687;12152
9104;4503;3490
9105;17956;16370
9106;7953;9381
9107;10845;10064
9108;22524;19237
9109;15535;16075
9110;3723;3379
9111;21147;25800
9112;43282;38366
9113;4515;3732
9114;16070;14166
9115;16346;10484
9116;9303;9116
9117;10953;10108
9118;7257;8601
9119;15444;14057
9120;33187;25584
9121;6616;NA
9201;34173;35233
9202;16047;17357
9203;11397;11586
9204;5867;5427
9205;6956;5549
9206;4888;5709
9207;7377;8191
9208;8228;9969
9209;6318;6292
9210;13092;14212
9211;23059;22667
10101;136377;106544
10102;22207;20395
10103;3234;3402
10104;8561;9138
10105;11238;9461
10106;11689;11789
10107;11580;10195
10108;10387;14061
10109;24355;20317
10201;30545;22380
10202;28207;30965
10203;9405;8164
10204;2454;2207
10205;8179;6240
10206;2864;2896
10207;3542;3450
10208;17385;13726
10209;6121;5501
10210;6100;6188
10301;106815;98728
10302;6640;7709
10303;14366;13296
10304;8050;7477
10305;9927;10274
10306;5934;7665
10307;6833;7604
10401;4875;4766
10402;1279;1149
10403;5641;6569
10404;1169;959
11101;35261;30523
11102;758;1094
11201;16154;16609
11202;4161;5370
11203;1134;937
11301;1884;2658
11302;359;281
11303;389;426
11401;3215;2634
11402;1671;1516
12101;86840;89573
12102;524;910
12103;343;282
12104;870;1131
12201;1684;1921
12301;4043;2919
12302;670;999
12303;530;153
12401;14224;12636
12402;754;427
13101;151551;177103
13102;49957;55436
13103;99567;112784
13104;90581;102494
13105;122314;130451
13106;92042;95802
13107;53415;43397
