COD;MAS18_2004;MAS18_2001
13108;46210;52584
13109;59521;67074
13110;285781;295646
13111;91285;103657
13112;130947;152248
13113;70876;73972
13114;202535;172287
13115;58297;49293
13116;74986;77859
13117;72320;80840
13118;80552;89428
13119;405241;246974
13120;123497;129617
13121;78257;80939
13122;157726;141269
13123;101481;85331
13124;151163;109793
13125;100159;37140
13126;72515;74299
13127;102246;114402
13128;92657;104022
13129;67641;71023
13130;57991;57938
13131;64107;70250
13132;61632;64905
13201;386345;266594
13202;12824;8744
13203;9891;8487
13301;60161;54664
13302;31166;20200
13303;10180;9388
13401;181683;168598
13402;46388;40321
13403;14245;9556
13404;37396;31008
13501;68314;62558
13502;3119;2990
13503;18172;15628
13504;7521;6413
13505;5416;4914
13601;44084;37983
13602;18977;16084
13603;16925;15107
13604;29188;25457
13605;50055;40021
14101;105229;92494
14102;3761;4197
14103;10479;9616
14104;13740;12747
14105;4834;4783
14106;12001;12441
14107;13478;11826
14108;23143;19819
14201;27196;27419
14202;9789;9869
14203;6500;6942
14204;22315;22730
15101;127676;131312
15102;997;811
15201;1383;1978
15202;949;680
16101;118427;116360
16102;14450;13270
16103;16457;13412
16104;8474;9968
16105;6130;5995
16106;7164;5516
16107;10958;9294
16108;10885;11858
16109;12105;10576
16201;8234;7580
16202;4007;4597
16203;11260;11418
16204;3893;4078
16205;3650;3395
16206;3909;3928
16207;3630;3667
16301;34861;34266
16302;16143;15476
16303;7721;9481
16304;2445;2269
16305;7028;6787
