Comuna;Inscritos_2004
MARIQUINA;10442
PAILLACO;12259
PANGUIPULLI;18074
RIO BUENO;19329
VALDIVIA;74341
ANCUD;21814
CALBUCO;15746
CASTRO;18848
COCHAMO;2558
CURACO DE VELEZ;2334
CHAITEN;4908
CHONCHI;6324
DALCAHUE;5237
FRESIA;8557
FRUTILLAR;8157
FUTALEUFU;1647
HUALAIHUE;5251
LOS MUERMOS;9570
LLANQUIHUE;8897
MAULLIN;9181
OSORNO;82352
PALENA;1153
PUERTO MONTT;76598
PUERTO OCTAY;5631
PUERTO VARAS;17749
PUQUELDON;2721
PURRANQUE;13266
PUYEHUE;7545
QUEILEN;3256
QUELLON;9804
QUEMCHI;4994
QUINCHAO;4932
RIO NEGRO;9106
SAN JUAN DE LA COSTA;5085
SAN PABLO;6960
AYSEN;12432
CISNES;2836
COCHRANE;1979
COYHAIQUE;30850
CHILE CHICO;3425
GUAITECAS;995
LAGO VERDE;684
OHIGGINS;487
RIO IBANEZ;2049
TORTEL;363
ANTARTICA;184
CABO DE HORNOS;1533
LAGUNA BLANCA;658
NATALES;13262
PORVENIR;4883
PRIMAVERA;1477
PUNTA ARENAS;74417
RIO VERDE;565
SAN GREGORIO;1151
TIMAUKEL;873
TORRES DEL PAINE;1044
