Comuna;Año.de.Elección;Candidato..a.;Sigla.Partido;Votos.Totales;Porcentaje.2021;Electo;Lista
GRANEROS;2021;251. GABRIEL MENDOZA IBARRA;IND;1240;9.36;;XX
GRANEROS;2021;252. CLAUDIO SEGOVIA COFRE;IND;7337;55.37;Electo;IND
GRANEROS;2021;253. JORGE OSVALDO GONZALEZ FARIAS;IND;1751;13.21;;IND
LA ESTRELLA;2021;250. VALENTIN GERONIMO VIDAL RUBIO;IND;645;25.12;;M
LA ESTRELLA;2021;251. ANDRES ALONSO FERNANDEZ TAPIA;UDI;349;13.59;;XX
LA ESTRELLA;2021;252. ANGELICA SILVA ARRUE;IND;1050;40.89;Electo;IND
LA ESTRELLA;2021;253. HECTOR OSORIO MONRREAL;IND;524;20.4;;IND
LAS CABRAS;2021;250. JUAN PABLO FLORES ASTORGA;PRO;3491;35.58;Electo;XU
LAS CABRAS;2021;251. RIGOBERTO LEIVA PARRA;UDI;2211;22.53;;XX
LAS CABRAS;2021;252. LEANDRO CARREÑO VARGAS;IND;1745;17.78;;IND
LAS CABRAS;2021;253. JAIME EUGENIO FABIA REYES;IND;2366;24.11;;IND
LITUECHE;2021;250. JULIO PEÑA TOBAR;IND;1405;33.64;;K
LITUECHE;2021;251. GABRIEL EDUARDO PALMA DONOSO;FREVS;934;22.37;;M
LITUECHE;2021;252. RENE ACUÑA ECHEVERRIA;UDI;1837;43.99;Electo;XX
LOLOL;2021;250. JOSE GUILLERMO DIAZ SALAS;PDC;1056;24.15;;XU
LOLOL;2021;251. JOSE ALFREDO ROMAN CHAVEZ;IND;1813;41.46;Electo;IND
LOLOL;2021;252. CORINA DEL CARMEN DIAZ ARANCIBIA;IND;1504;34.39;;IND
MACHALI;2021;250. GONZALO LOPEZ LOPEZ;PS;2614;13.44;;K
MACHALI;2021;251. HECTOR LABBE VALENZUELA;UDI;3547;18.24;;XX
MACHALI;2021;252. SARA ANDREA RAMIREZ CRUZ;IND;1524;7.84;;IND
MACHALI;2021;253. DORIS SIXTINA VALDIVIA MONSALVE;IND;2871;14.77;;IND
MACHALI;2021;254. JUAN CARLOS ABUD PARRA;IND;8888;45.71;Electo;IND
MALLOA;2021;250. LUIS BARRA VILLANUEVA;IND;2750;43.91;Electo;K
MALLOA;2021;251. LORENZO ABARCA UBILLA;IND;977;15.6;;IND
MALLOA;2021;252. ALEJANDRO PALOMINOS VENEGAS;IND;734;11.72;;IND
MALLOA;2021;253. JUAN MAGAÑA RUBIO;IND;1802;28.77;;IND
MARCHIGUE;2021;250. RODRIGO FERNANDO VELIZ FARIAS;IND;72;1.61;;K
MARCHIGUE;2021;251. JOSE IGNACIO GONZALEZ PINO;UDI;1837;41;;XX
MARCHIGUE;2021;252. CRISTIAN SALINAS HERRERA;PH;2365;52.79;Electo;XY
MARCHIGUE;2021;253. PATRICIA CARREÑO SILVA;IND;206;4.6;;IND
MOSTAZAL;2021;250. VERONICA DEL PILAR ARROYO ARANCIBIA;PDC;2659;26.05;;XU
MOSTAZAL;2021;251. GONZALO MEZA VANNINI;IND;1727;16.92;;XX
MOSTAZAL;2021;252. SANTIAGO AQUILES GARATE ESPINOZA;IND;2766;27.1;Electo;IND
MOSTAZAL;2021;253. CECILIA DEL CARMEN VIVEROS CASTILLO;IND;157;1.54;;IND
MOSTAZAL;2021;254. CLAUDIA CAROCA CONTRERAS;IND;1484;14.54;;IND
MOSTAZAL;2021;255. TERESITA REYES OVALLE;IND;690;6.76;;IND
MOSTAZAL;2021;256. GIOVANNA ANDREA FLORES PINTO;IND;175;1.71;;IND
MOSTAZAL;2021;257. JOSE JOAQUIN HURTADO BARAHONA;IND;549;5.38;;IND
NANCAGUA;2021;250. EDUARDO ESCANILLA GAETE;PS;2139;30.67;;K
NANCAGUA;2021;251. MARIA IGNACIA DE JESUS DE LA RIVA DUTZAN;IND;1030;14.77;;XX
NANCAGUA;2021;252. MARIO BUSTAMANTE SALINAS;IND;2681;38.44;Electo;IND
NANCAGUA;2021;253. HUGO ARIAS GONZALEZ;IND;1124;16.12;;IND
NAVIDAD;2021;250. FIDEL TORRES AGUILERA;PS;531;12.65;;K
NAVIDAD;2021;251. YANKO ANTONIO BLUMEN ANTIVILO;IND;903;21.52;Electo;M
NAVIDAD;2021;252. DANIEL ALFONSO OLIVARES VIDAL;IND;430;10.25;;XS
NAVIDAD;2021;253. GONZALO ALBERTO ORTEGA PRIETO;UDI;518;12.35;;
NAVIDAD;2021;254. PRISSILA NATALY FARIAS MORALES;IND;898;21.4;;IND
NAVIDAD;2021;255. MARIO ANTONIO GONZALEZ SOTO;IND;258;6.15;;IND
NAVIDAD;2021;256. PATRICIA ARIAS RODRIGUEZ;IND;658;15.68;;IND
OLIVAR;2021;250. PRAXEDES PEREZ ARANGUIZ;PS;2302;36.36;;K
OLIVAR;2021;251. MARIA ESTRELLA MONTERO CARRASCO;IND;2472;39.04;Electo;XX
OLIVAR;2021;252. JORGE ANTONIO PEÑA BRUCE;IND;1119;17.67;;IND
OLIVAR;2021;253. EVARISTO SEGUNDO ORELLANA CORREA;IND;439;6.93;;IND
PALMILLA;2021;250. GLORIA DE LAS MERCEDES PAREDES VALDES;PDC;2934;54.89;Electo;XU
PALMILLA;2021;251. CLAUDIO CABRERA MARAMBIO;IND;2411;45.11;;XX
PAREDONES;2021;250. JOSE MIGUEL REYES POBLETE;IND;2074;43.46;;K
PAREDONES;2021;251. MOISES ANTONIO CARVACHO VARGAS;RN;2698;56.54;Electo;XX
PERALILLO;2021;250. CLAUDIO ABRAHAM CUMSILLE CHOMALI;PS;3110;61.32;Electo;K
PERALILLO;2021;251. CARLOS UTMAN GOLDSCHMIDT;UDI;831;16.38;;XX
PERALILLO;2021;252. FROILAN NUÑEZ CUMSILLE;IND;1131;22.3;;IND
PEUMO;2021;250. ROSA GLADYS RUBIO UGALDE;IND;503;7.39;;K
PEUMO;2021;251. ESTEBAN GREGORIO MARTINEZ RUBIO;FREVS;1645;24.18;;M
PEUMO;2021;252. PEDRO RUBIO GONZALEZ;EVOPOLI;325;4.78;;XX
PEUMO;2021;253. JOSE ALEJANDRO MARTINEZ PARDO;IND;1639;24.09;;IND
PEUMO;2021;254. CARLOS ARIEL ALIAGA DONOSO;IND;1919;28.21;Electo;IND
PEUMO;2021;255. RIGOBERTO PEREZ HUENUMAN;IND;772;11.35;;IND
PICHIDEGUA;2021;250. ISMAEL HERNANDO GONZALEZ GUTIERREZ;IND;2015;25.4;;M
PICHIDEGUA;2021;251. MARCOS AURELIO FUENTES ULLOA;PDC;2666;33.61;Electo;XU
PICHIDEGUA;2021;252. TAMARA JOFRE SALINAS;UDI;1120;14.12;;XX
PICHIDEGUA;2021;253. CRISTIAN PAVEZ HERRERA;IND;1623;20.46;;IND
PICHIDEGUA;2021;254. GUILLERMO OLAYO GONZALEZ CUETO;IND;508;6.4;;IND
PICHILEMU;2021;250. MANUEL ROBERTO COFRE PEREZ;PCCH;243;2.54;;M
PICHILEMU;2021;251. PABLO MARTINEZ QUINTEROS;UDI;1191;12.44;;XX
PICHILEMU;2021;252. HIPOLITO SOLANO RUBIO;IND;265;2.77;;IND
PICHILEMU;2021;253. JORGE LUIS URZUA GARCIA;IND;2469;25.78;;IND
PICHILEMU;2021;254. CRISTIAN ANDRES POZO PARRAGUEZ;IND;2717;28.37;Electo;IND
PICHILEMU;2021;255. JULIO DIEGO IBARRA MALDONADO;IND;371;3.87;;IND
PICHILEMU;2021;256. MARCELO CABRERA MARTINEZ;IND;2320;24.23;;IND
PLACILLA;2021;250. MANUEL TULIO CONTRERAS ALVAREZ;PDC;2971;63.73;Electo;XU
PLACILLA;2021;251. CHRISTIAN JOSE CONTRERAS ORELLANA;IND;1691;36.27;;IND
PUMANQUE;2021;250. FRANCISCO ARNOLDO CASTRO GALVEZ;RN;1327;43.18;;XX
PUMANQUE;2021;251. GONZALO BARAONA BEZANILLA;IND;1746;56.82;Electo;IND
QUINTA DE TILCOCO;2021;250. ROBERTO ANDRES ARENAS VASQUEZ;CONVERGEN.;457;6.87;;XS
QUINTA DE TILCOCO;2021;251. HELI FRANCISCO CARRASCO URETA;PDC;2254;33.9;;XU
QUINTA DE TILCOCO;2021;252. SEBASTIAN ALONSO RODRIGUEZ FUENZALIDA;IND;2810;42.27;Electo;XX
QUINTA DE TILCOCO;2021;253. MARIO GALVEZ PALMA;IND;1127;16.95;;IND
RANCAGUA;2021;250. JUAN RAMON GODOY MUÑOZ;PS;20529;27.25;Electo;K
RANCAGUA;2021;251. DANILO EUGENIO JORQUERA VIDAL;PCCH;5139;6.82;;M
RANCAGUA;2021;252. ROBERTO ANTONIO VILLAGRA REYES;IND;9446;12.54;;XS
RANCAGUA;2021;253. PAMELA JADELL ECHAGUE;IND;9783;12.99;;XX
RANCAGUA;2021;254. RICARDO FERNANDO CERDA ARANCIBIA;IND;4064;5.39;;XY
RANCAGUA;2021;255. MARTA GONZALEZ OLEA;IND;9386;12.46;;XZ
RANCAGUA;2021;256. RAIMUNDO AGLIATI MARCHANT;IND;16984;22.55;;IND
RENGO;2021;250. CARLOS SOTO GONZALEZ;IND;5974;27.85;Electo;K
RENGO;2021;251. ALVARO VALENTIN LIZANA FUENTES;RD;4475;20.87;;XS
RENGO;2021;252. MARCOS GATICA MUÑOZ;RN;3461;16.14;;XX
RENGO;2021;253. JULIO IVAN IBARRA MARIPANGUE;IND;5256;24.51;;IND
RENGO;2021;254. YOSSELIN MOYANO CALABRANO;IND;2281;10.64;;IND
REQUINOA;2021;250. WALDO ANTONIO VALDIVIA MONTECINOS;IND;5568;53.85;Electo;K
REQUINOA;2021;251. MARIA VICTORIA CAVIERES PAIVA;UDI;4772;46.15;;XX
SAN FERNANDO;2021;250. LUIS MANUEL ORELLANA ROJAS;PR;3807;13.51;;K
SAN FERNANDO;2021;251. GABRIEL FRANCISCO ROJAS OYARCE;PCCH;1243;4.41;;M
SAN FERNANDO;2021;252. ALEJANDRO RIQUELME CALVO;UDI;5016;17.8;;XX
SAN FERNANDO;2021;253. PABLO SILVA PEREZ;IND;8322;29.53;Electo;IND
SAN FERNANDO;2021;254. PABLO ORELLANA RIVAS;IND;2092;7.42;;IND
SAN FERNANDO;2021;255. LUIS BERWART ARAYA;IND;2084;7.39;;IND
SAN FERNANDO;2021;256. CRISTIAN FABIAN SILVA ROSALES;IND;2118;7.51;;IND
SAN FERNANDO;2021;257. XIMENA FLORES PEÑALOZA;IND;3326;11.8;;IND
SAN FERNANDO;2021;258. FIORINA MISCHAL GONZALEZ MOYA;IND;177;0.63;;IND
SAN VICENTE;2021;250. JAIME GONZALEZ RAMIREZ;IND;9312;51.26;Electo;K
SAN VICENTE;2021;251. GUIDO CARREÑO REYES;UDI;8855;48.74;;XX
SANTA CRUZ;2021;250. CARLOS CISTERNA PAVEZ;PS;3870;30.33;;K
SANTA CRUZ;2021;251. JOSE ARTURO GUAJARDO REYES;FREVS;1163;9.12;;M
SANTA CRUZ;2021;252. YOSHI CATALINA GUAJARDO AMAYA;IND;492;3.86;;XS
SANTA CRUZ;2021;253. WILLIAM AREVALO CORNEJO;IND;6000;47.03;Electo;XX
SANTA CRUZ;2021;254. MANUEL ORLANDO PALMA VARAS;IND;522;4.09;;IND
SANTA CRUZ;2021;255. BERNARDO PATRICIO MORELL PIÑEDA;IND;711;5.57;;IND
CAUQUENES;2021;250. DOMINGO LEIVA MENA;PS;2688;18.39;;K
CAUQUENES;2021;251. JORGE EDUARDO MUÑOZ SAAVEDRA;IND;4608;31.53;;XX
CAUQUENES;2021;252. ALEJANDRA RAMIREZ VERDUGO;IND;1283;8.78;;IND
CAUQUENES;2021;253. NERY CRISTINA RODRIGUEZ DOMINGUEZ;IND;6034;41.29;Electo;IND
CHANCO;2021;250. MARCELO OSVALDO WADDINGTON GUAJARDO;PR;2445;43.27;Electo;K
CHANCO;2021;251. DAVID EDUARDO SANCHEZ ARELLANO;REPUBLICA.;366;6.48;;XO
CHANCO;2021;252. ROSAURO ANTONIO ELGUETA VALENZUELA;RN;1178;20.85;;XX
CHANCO;2021;253. ALFONSO MEZA MEZA;IND;449;7.95;;IND
CHANCO;2021;254. JOSE HUMBERTO ESPINOSA CAMPOS;IND;778;13.77;;IND
CHANCO;2021;255. JOSE ANIBAL PEREZ MEZA;IND;434;7.68;;IND
COLBUN;2021;250. CLAUDIO FELIPE ROSSON MUÑOZ;UDI;259;2.59;;XX
COLBUN;2021;251. PEDRO PABLO MUÑOZ OSES;IND;4061;40.55;Electo;IND
COLBUN;2021;252. GUSTAVO ALFONSO ROJAS ARAVENA;IND;1949;19.46;;IND
COLBUN;2021;253. JONATHAN EDUARDO NORAMBUENA BARROS;IND;3746;37.4;;IND
CONSTITUCION;2021;250. FABIAN MANUEL PEREZ HERRERA;PR;8493;46.99;Electo;K
CONSTITUCION;2021;251. CARLOS VALENZUELA GAJARDO;IND;5988;33.13;;XX
CONSTITUCION;2021;252. FRANCO ARAVENA GONZALEZ;IND;3592;19.87;;IND
CUREPTO;2021;250. RENE ALEJANDRO CONCHA GONZALEZ;PPD;2744;54.12;Electo;K
CUREPTO;2021;251. CARLOS ALBERTO HENRIQUEZ RAMIREZ;IND;371;7.32;;M
CUREPTO;2021;252. JUAN PABLO RETAMAL GUTIERREZ;IND;1955;38.56;;XX
CURICO;2021;250. JAVIER MUÑOZ RIQUELME;PDC;20370;43.83;Electo;XU
CURICO;2021;251. MACARENA PONS PORCILE;IND;10794;23.22;;XX
CURICO;2021;252. PAMELA ANDREA HENRIQUEZ ROJAS;IND;15312;32.95;;XY
EMPEDRADO;2021;250. RICARDO OPAZO FIERRO;PPD;228;7.49;;K
EMPEDRADO;2021;251. MANUEL BAEZ GAJARDO;UDI;574;18.86;;XX
EMPEDRADO;2021;252. GONZALO TEJOS PEREZ;IND;1221;40.11;Electo;IND
EMPEDRADO;2021;253. CARLOS CORREA MIÑOS;IND;1021;33.54;;IND
HUALANE;2021;250. MARISOL DEL CARMEN PEREZ SAAVEDRA;FREVS;97;1.74;;M
HUALANE;2021;251. CAROLINA ALEJANDRA MUÑOZ NUÑEZ;PDC;3591;64.55;Electo;XU
HUALANE;2021;252. PATRICIA ALEJANDRA QUEZADA MORENO;IND;1573;28.28;;XX
HUALANE;2021;253. SERGIO ANTONIO NUÑEZ ALIAGA;IND;302;5.43;;IND
LICANTEN;2021;250. BRUNO GONZALEZ ACUÑA;UDI;1454;36.27;;XX
LICANTEN;2021;251. MARCELO FERNANDEZ VILOS;IND;2555;63.73;Electo;IND
LINARES;2021;250. WALDO CESAR ALFARO MARTINEZ;PDC;6406;21.84;;XU
LINARES;2021;251. MARIO MEZA VASQUEZ;RN;12205;41.61;Electo;XX
LINARES;2021;252. ALAMIRO GARRIDO CACERES;IND;4674;15.94;;IND
LINARES;2021;253. CARLOS ANDRES GAJARDO YAÑEZ;IND;6046;20.61;;IND
LONGAVI;2021;250. GONZALO JARA REYES;PPD;1897;16.78;;K
LONGAVI;2021;251. CRISTIAN MENCHACA PINOCHET;UDI;3981;35.21;Electo;XX
LONGAVI;2021;252. RUTH UBERLINDA FLORES CAMPOS;IND;278;2.46;;XY
LONGAVI;2021;253. DANILO DEL CARMEN BARRA MENDEZ;IND;131;1.16;;IND
LONGAVI;2021;254. MANUEL JESUS SAN MARTIN ROMERO;IND;532;4.71;;IND
LONGAVI;2021;255. JAIME BRIONES JORQUERA;IND;2245;19.85;;IND
LONGAVI;2021;256. ROBIN ARAYA ACEVEDO;IND;2243;19.84;;IND
MAULE;2021;250. LUIS GABRIEL VASQUEZ GALVEZ;PDC;6483;55.18;Electo;XU
MAULE;2021;251. BRIAN JHON VILLALOBOS RETAMAL;PRI;1257;10.7;;XX
MAULE;2021;252. CARLOS OVALLE ROJAS;IND;4008;34.12;;IND
MOLINA;2021;250. PRISCILLA ELENA CASTILLO GERLI;PDC;10939;58.96;Electo;XU
MOLINA;2021;251. NICOLAS SANTANA RIVERA;IND;1521;8.2;;IND
MOLINA;2021;252. FELIPE EDUARDO MENDEZ GUZMAN;IND;6094;32.84;;IND
PARRAL;2021;250. GUILLERMO CERONI FUENTES;PPD;1995;12.66;;K
PARRAL;2021;251. PAULA RETAMAL URRUTIA;UDI;5149;32.66;Electo;XX
PARRAL;2021;252. JUAN CARLOS BENAVENTE MEZA;IND;3443;21.84;;IND
PARRAL;2021;253. GUIDO CASTILLA MORA;IND;448;2.84;;IND
PARRAL;2021;254. RODRIGO ESTEBAN CASTRO SEPULVEDA;IND;4729;30;;IND
PELARCO;2021;250. ROBERTO SILVA ADI;IND;961;24.3;;K
PELARCO;2021;251. CRISTOFER CAMILO RETAMAL LARA;IND;174;4.4;;M
PELARCO;2021;252. LUIS BERNARDO VASQUEZ BOBADILLA;UDI;2819;71.29;Electo;XX
PELLUHUE;2021;250. MARIA LUZ REYES ORELLANA;IND;3547;66.8;Electo;XU
PELLUHUE;2021;251. DANIEL BUSTOS LEAL;IND;1763;33.2;;XX
PENCAHUE;2021;250. MARCELO ALEJANDRO VIEDMA VILLAMAN;PDC;1877;31.49;;XU
PENCAHUE;2021;251. JOSE CORREA CORREA;UDI;1748;29.32;;XX
PENCAHUE;2021;252. JOSE MIGUEL TOBAR ARAVENA;IND;2336;39.19;Electo;IND
RAUCO;2021;250. ENRIQUE FRANCISCO IGNACIO OLIVARES FARIAS;PR;2195;46.18;Electo;K
RAUCO;2021;251. MANUEL JESUS POBLETE NAVARRO;UDI;1291;27.16;;XX
RAUCO;2021;252. PASCUAL SEGUNDO AREVALOS MARTINEZ;IND;1267;26.66;;IND
RETIRO;2021;250. VIVIANA LANDAETA PARRA;PS;409;5.06;;K
RETIRO;2021;251. JUAN PATRICIO CONTRERAS CONTRERAS;PDC;1551;19.18;;XU
RETIRO;2021;252. RODRIGO RAMIREZ PARRA;RN;3732;46.15;Electo;XX
RETIRO;2021;253. LUIS SERGIO PINO ANDRADES;IND;467;5.77;;IND
RETIRO;2021;254. IGNACIO LUNA VALLEJOS;IND;1928;23.84;;IND
RIO CLARO;2021;250. EDUARDO ALFONSO POBLETE NAVARRO;PR;1140;18.86;;K
RIO CLARO;2021;251. AMERICO GUAJARDO OYARCE;RN;3137;51.89;Electo;XX
RIO CLARO;2021;252. ROSA MARIA NAVARRO AMIGO;IND;1769;29.26;;IND
ROMERAL;2021;250. CARLOS VERGARA ZEREGA;PS;5157;79.55;Electo;K
ROMERAL;2021;251. CLAUDIO PINO ULLOA;IND;1326;20.45;;XX
SAGRADA FAMILIA;2021;250. JOSSELYN ALEJANDRA OYARZUN NARANJO;IND;1857;22.37;;XU
SAGRADA FAMILIA;2021;251. MARTIN ARRIAGADA URRUTIA;UDI;4452;53.62;Electo;XX
SAGRADA FAMILIA;2021;252. PAULO ENRIQUE AVALOS SEPULVEDA;IND;813;9.79;;IND
SAGRADA FAMILIA;2021;253. JUAN DE LA CRUZ BADILLA RAMIREZ;IND;229;2.76;;IND
SAGRADA FAMILIA;2021;254. JOSE ALFREDO GONZALEZ RAMIREZ;IND;952;11.47;;IND
SAN CLEMENTE;2021;250. PABLO HERNANDEZ MORALES;PDC;3565;25.97;;XU
SAN CLEMENTE;2021;251. PABLO AMARO VALENZUELA;UDI;4262;31.05;;XX
SAN CLEMENTE;2021;252. MARIA INES SEPULVEDA FUENTES;IND;5899;42.98;Electo;IND
SAN JAVIER;2021;250. GERMAN ANDRES HERRERA DINAMARCA;RD;3078;21.34;;XS
SAN JAVIER;2021;251. JORGE EDUARDO IGNACIO SILVA SEPULVEDA;PDC;5915;41.01;Electo;XU
SAN JAVIER;2021;252. WILLIAMS VALENZUELA VILLALOBOS;EVOPOLI;2899;20.1;;XX
SAN JAVIER;2021;253. PEDRO FERNANDEZ CHAVARRI;IND;2531;17.55;;IND
SAN RAFAEL;2021;250. CLAUDIA ALEJANDRA DIAZ BRAVO;PDC;3426;78.87;Electo;XU
SAN RAFAEL;2021;251. CESAR CANTUARIAS CHAZARRO;IND;918;21.13;;XX
TALCA;2021;250. RODRIGO SEPULVEDA ESPINOZA;IND;16143;22.14;;K
TALCA;2021;251. SIXTO GONZALEZ SOTO;PCCH;14867;20.39;;M
TALCA;2021;252. JUAN CARLOS DIAZ AVENDAÑO;RN;28524;39.11;Electo;XX
TALCA;2021;253. SILVIA VIVIANA CABELLO LETELIER;IND;8720;11.96;;XY
TALCA;2021;254. ANDREA CAMARGO PINO;IND;4675;6.41;;IND
TENO;2021;250. ANGELA GINETTE MUÑOZ VENEGAS;RN;3743;43.69;;XX
TENO;2021;251. SANDRA AMESTICA GAETE;IND;4825;56.31;Electo;IND
VICHUQUEN;2021;250. MAURICIO ANDRES CORREA URZUA;IND;40;1.01;;XU
VICHUQUEN;2021;251. ROBERTO RIVERA PINO;IND;1145;28.94;;XX
VICHUQUEN;2021;252. PATRICIO ANDRES RIVERA BRAVO;IND;1456;36.8;Electo;IND
VICHUQUEN;2021;253. CRISTIAN BRAVO CABEZAS;IND;118;2.98;;IND
VICHUQUEN;2021;254. ROMAN DEL TRANSITO PAVEZ LOPEZ;IND;1198;30.28;;IND
VILLA ALEGRE;2021;250. CARLA ANDREA MANOSALVA REYES;PR;293;4.47;;K
VILLA ALEGRE;2021;251. PABLO FUENTES VALLEJOS;IND;1555;23.74;Electo;XX
VILLA ALEGRE;2021;252. RICARDO ANTONIO LIZAMA SOTO;IND;466;7.11;;IND
VILLA ALEGRE;2021;253. JORGE ALFREDO PEÑA VARGAS;IND;1317;20.11;;IND
VILLA ALEGRE;2021;254. LUIS ANGEL ALEGRIA ACUÑA;IND;1295;19.77;;IND
VILLA ALEGRE;2021;255. FABIOLA ARENAS SEPULVEDA;IND;440;6.72;;IND
VILLA ALEGRE;2021;256. ALVARO DIEGUEZ ANGULO;IND;1184;18.08;;IND
YERBAS BUENAS;2021;250. LUIS GILBERTO CADEGAN MORAN;IND;3760;56.34;Electo;XU
YERBAS BUENAS;2021;251. EVA PALMA LEAL;RN;2610;39.11;;XX
YERBAS BUENAS;2021;252. JAIME RODOLFO CLARET ARIAS;IND;304;4.55;;IND
BULNES;2021;250. JORGE HIDALGO OÑATE;IND;1581;17.82;;K
BULNES;2021;251. THELMA ZANIRA GUZMAN ASENCIO;PCCH;985;11.1;;M
BULNES;2021;252. EUGENIO ULISES MEDINA PARRA;IND;1882;21.21;;XX
BULNES;2021;253. GUILLERMO YEBER RODRIGUEZ;IND;4424;49.86;Electo;IND
CHILLAN;2021;250. CAMILO BENAVENTE JIMENEZ;PPD;33268;62.01;Electo;K
CHILLAN;2021;251. MANUEL HERIBERTO REYES PINOCHET;IND;4559;8.5;;XO
CHILLAN;2021;252. PAOLA BECKER VILLA;IND;8599;16.03;;XX
CHILLAN;2021;253. PATRICIA INES PINO CEBALLOS;PH;3938;7.34;;XY
CHILLAN;2021;254. MARCELO CONTRERAS MUÑOZ;PEV;3287;6.13;;XZ
CHILLAN VIEJO;2021;250. JOSE ANTONIO SILVA ESPINOZA;PS;1875;19.27;;K
CHILLAN VIEJO;2021;251. RODRIGO ANTONIO ARZOLA HELO;IND;1207;12.4;;XX
CHILLAN VIEJO;2021;252. JORGE DEL POZO PASTENE;IND;4145;42.6;Electo;IND
CHILLAN VIEJO;2021;253. RODOLFO GAZMURI SANCHEZ;IND;1460;15;;IND
CHILLAN VIEJO;2021;254. CARLOS HERNANDEZ MUÑOZ;IND;543;5.58;;IND
CHILLAN VIEJO;2021;255. ESTEBAN DAVID MISLE MUÑOZ;IND;501;5.15;;IND
COBQUECURA;2021;250. JULIO MANUEL ALBERTO FUENTES ALARCON;IND;1922;48.05;Electo;K
COBQUECURA;2021;251. FERNANDA TORRES ORELLANA;IND;164;4.1;;XX
COBQUECURA;2021;252. JORGE EDUARDO ROMERO VILLALOBOS;IND;1914;47.85;;IND
COELEMU;2021;250. ALEJANDRO RODRIGO PEDREROS URRUTIA;IND;4611;53.84;Electo;K
COELEMU;2021;251. LAURA ARAVENA ALARCON;RN;3737;43.64;;XX
COELEMU;2021;252. JUAN ESCALONA GONZALEZ;IND;216;2.52;;XZ
COIHUECO;2021;250. JUAN OLAVE PEDRAZA;IND;1631;19.51;;K
COIHUECO;2021;251. CRISTIAN ALFREDO HERRERA CARO;PCCH;452;5.41;;M
COIHUECO;2021;252. CARLOS CHANDIA ALARCON;RN;6278;75.09;Electo;XX
EL CARMEN;2021;250. JOSE HERNANDO SAN MARTIN RUBILAR;PDC;3450;51.85;Electo;XU
EL CARMEN;2021;251. RENAN CABEZAS ARROYO;RN;3204;48.15;;XX
NINHUE;2021;250. LUIS ALBERTO MOLINA MELO;IND;2180;54.69;Electo;XU
NINHUE;2021;251. DANIEL ARRIAGADA JARA;UDI;572;14.35;;XX
NINHUE;2021;252. RONALD ALEXIS TASSARA ESPINOZA;IND;1080;27.09;;IND
NINHUE;2021;253. ROBERTO CONTRERAS CONTRERAS;IND;154;3.86;;IND
NIQUEN;2021;250. PABLO JIMENEZ ACUÑA;PS;1399;30.55;;K
NIQUEN;2021;251. JOSE ALFREDO FICA PEÑA;IND;407;8.89;;XS
NIQUEN;2021;252. MANUEL PINO TURRA;UDI;2774;60.57;Electo;XX
PEMUCO;2021;250. ISMAEL ULISES PALMA GUIÑEZ;PDC;2069;47.33;;XU
PEMUCO;2021;251. JOHNNSON GUIÑEZ NUÑEZ;IND;2302;52.67;Electo;XX
PINTO;2021;250. JORGE ARIAS ZUMAETA;IND;727;13.02;;K
PINTO;2021;251. MANUEL JESUS GUZMAN AEDO;UDI;3068;54.96;Electo;XX
PINTO;2021;252. JUAN CARLOS SAEZ FREIRE;IND;1292;23.15;;IND
PINTO;2021;253. GABRIELA RODRIGUEZ BUSTAMANTE;IND;495;8.87;;IND
PORTEZUELO;2021;250. RENE SCHUFFENEGER SALAS;RN;2525;100;Electo;XX
QUILLON;2021;250. MIGUEL ALFONSO PEÑA JARA;PDC;3327;52.53;Electo;XU
QUILLON;2021;251. HILDA QUEZADA BRAVO;RN;2363;37.31;;XX
QUILLON;2021;252. JOSE LUIS GUZMAN FERNANDEZ;IND;180;2.84;;XY
QUILLON;2021;253. IGNACIO SANHUEZA PATIÑO;IND;463;7.31;;IND
QUIRIHUE;2021;250. RICHARD PATRICIO IRRIBARRA RAMIREZ;PR;2935;50.46;Electo;K
QUIRIHUE;2021;251. SEBASTIAN GODOY BUSTOS;UDI;754;12.96;;XX
QUIRIHUE;2021;252. JOSE PEDRO HADI PINO;IND;2127;36.57;;IND
RANQUIL;2021;250. BENITO BRAVO DELGADO;PPD;1248;33.84;;K
RANQUIL;2021;251. NICOLAS ALFONSO TORRES OVALLE;RN;2235;60.6;Electo;XX
RANQUIL;2021;252. CARLOS ALBERTO GARCIA VERA;IND;78;2.11;;IND
RANQUIL;2021;253. CHRISTIAN ASTUDILLO MUÑOZ;IND;127;3.44;;IND
SAN CARLOS;2021;250. WILLIAMS GASTON SUAZO SOTO;PS;5091;33.45;Electo;K
SAN CARLOS;2021;251. CESAR ERNESTO ORTIZ GALLEGOS;IND;1423;9.35;;XO
SAN CARLOS;2021;252. LORENA JARDUA CAMPOS;IND;3477;22.84;;XX
SAN CARLOS;2021;253. GISSELLE AVILA BUSTOS;IND;433;2.84;;XZ
SAN CARLOS;2021;254. MARIA ISABEL GARCIA NAVARRETE;IND;1041;6.84;;IND
SAN CARLOS;2021;255. RUBEN ESTEBAN MENDEZ VENEGAS;IND;3757;24.68;;IND
SAN FABIAN;2021;250. ENRIQUE OLIVARES LANDAETA;IND;752;24.45;;K
SAN FABIAN;2021;251. CLAUDIO ALMUNA GARRIDO;RN;927;30.14;Electo;XX
SAN FABIAN;2021;252. FERNANDO ANTONIO CORREA SANDOVAL;IND;857;27.86;;IND
SAN FABIAN;2021;253. CRISTOFER ANTONIO VALDES GONZALEZ;IND;540;17.56;;IND
