Comuna;Mesas_Total_2013b;Inscritos_Total_2013b;Votacion_2013b;Participacion_2013b
NUEVA IMPERIAL;87;28972;13217;0.4562
PADRE LAS CASAS;151;51184;20255;0.3957
PERQUENCO;20;6276;3237;0.5158
PITRUFQUEN;66;21126;9130;0.4322
PUCON;67;22850;7969;0.3488
PUREN;38;11653;5415;0.4647
RENAICO;29;8791;4225;0.4806
SAAVEDRA;40;12616;5325;0.4221
TEMUCO;652;218196;87951;0.4031
TEODORO SCHMIDT;46;13464;6683;0.4964
TOLTEN;34;10131;4522;0.4464
TRAIGUEN;60;18218;8457;0.4642
VICTORIA;98;31449;13147;0.418
VILCUN;68;21945;9638;0.4392
VILLARRICA;139;47295;18161;0.384
CORRAL;17;5195;2391;0.4603
FUTRONO;42;13208;5402;0.409
LAGO RANCO;31;8752;4072;0.4653
LANCO;50;15157;6921;0.4566
LA UNION;105;34242;14502;0.4235
LOS LAGOS;54;17679;7650;0.4327
MAFIL;21;6683;3067;0.4589
MARIQUINA;53;16842;7451;0.4424
PAILLACO;63;18354;8557;0.4662
PANGUIPULLI;104;32027;12688;0.3962
RIO BUENO;89;29158;12639;0.4335
VALDIVIA;377;126740;52820;0.4168
ANCUD;110;36460;13962;0.3829
CALBUCO;92;29379;10283;0.35
CASTRO;109;36758;13594;0.3698
CHAITEN;17;5190;1344;0.259
CHONCHI;35;11723;4978;0.4246
COCHAMO;14;4298;1407;0.3274
CURACO DE VELEZ;10;3335;1509;0.4525
DALCAHUE;32;10717;4266;0.3981
FRESIA;40;11693;6035;0.5161
FRUTILLAR;42;14068;7220;0.5132
FUTALEUFU;10;3441;1015;0.295
HUALAIHUE;27;7898;3084;0.3905
LLANQUIHUE;43;14421;7216;0.5004
LOS MUERMOS;46;15075;6938;0.4602
MAULLIN;49;14771;5881;0.3981
OSORNO;421;135263;56513;0.4178
PALENA;7;2180;794;0.3642
PUERTO MONTT;482;162408;59494;0.3663
PUERTO OCTAY;27;8508;4056;0.4767
PUERTO VARAS;105;34318;15476;0.451
PUQUELDON;13;4202;1664;0.396
PURRANQUE;62;19322;9081;0.47
PUYEHUE;34;10696;5360;0.5011
QUEILEN;17;5636;2154;0.3822
QUELLON;59;20145;7233;0.359
QUEMCHI;26;8381;3115;0.3717
QUINCHAO;28;8980;3000;0.3341
RIO NEGRO;44;12835;6314;0.4919
SAN JUAN DE LA COSTA;27;7549;3776;0.5002
SAN PABLO;31;9468;4796;0.5065
AYSEN;70;20771;7538;0.3629
CHILE CHICO;20;6082;1816;0.2986
CISNES;17;4066;1586;0.3901
COCHRANE;10;3083;1088;0.3529
COYHAIQUE;164;50426;17705;0.3511
GUAITECAS;5;1398;514;0.3677
LAGO VERDE;5;1029;397;0.3858
OHIGGINS;3;641;178;0.2777
RIO IBANEZ;12;2559;1066;0.4166
TORTEL;2;483;207;0.4286
ANTARTICA;1;357;21;0.0588
CABO DE HORNOS;6;1738;467;0.2687
LAGUNA BLANCA;4;995;230;0.2312
NATALES;67;20932;6784;0.3241
PORVENIR;22;6351;1730;0.2724
PRIMAVERA;6;1306;273;0.209
PUNTA ARENAS;353;117697;39790;0.3381
RIO VERDE;3;888;200;0.2252
SAN GREGORIO;5;1059;176;0.1662
TIMAUKEL;4;805;85;0.1056
TORRES DEL PAINE;6;1500;381;0.254
